nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Fries, Ms. Ruth M.",,422,,,United States of America,,
"Frouws, Jac., ond.",1894-1933,423,,,Netherlands,1894,1933
"Fuchs, Nikolaus, zdl.",1877-1931,424,,,Germany,1877,1931
"Gabriel, Carl, zdl.",1880-1952,425,,,Germany,1880,1952
"Gaikhorst, T.A., ond.",1883-,426,,,Netherlands,1883,
"Garnerus, Annette, ond.",1889-..,427,,,Germany,1889,..
"Gazendam, zr. Grietje",1891-1963,428,,,Netherlands,1891,1963
"Geer, jvr. zr. J.M. de, diacones",1878-1945,429,,,Netherlands,1878,1945
"Geerdink, A., zdl",1829-1878,430,,,Netherlands,1829,1878
"Geerse-Matze, P.I., zie Matze",,431,,,,,
"Gehrels, C.A., arts",1881-1921,432,,,Netherlands,1881,1921
"Geissler, Gustav A.W., zdl,",1865-1935+,433,,,Netherlands,1865,1935+
"Geissler, J.G. zwm",1830-1870,434,,,Germany,1830,1870
"Gelder, zr. C.J.M. van",,435,,,Netherlands,,
"Geleijnse, ds. M.",1893-1985,436,,,Netherlands,1893,1985
"Genderen, zie van den Hoven van Genderen",,437,,,,,
"Gennip, Hindrik Doewes v., zdl",1822-1866,438,,,Netherlands,1822,1866
"Gericke, G.F.A., zdl.",1801/2-'34,439,,,Germany,1801/2,'34
"Gericke, J.F.C.",1799-1857,440,,,Germany,1799,1857
"Gericke, Paul A., zdl.",1865-1926,441,,,Germany,1865,1926
"Gericke, Wilhelm Ed. Friedr., zdl",1863-1940,442,,,Germany,1863,1940
"Gerlach, Georg, zdl",1885-1946?,443,,,Germany,1885,1946?
"Giezendanner, zr. Elise",1906-1997,444,,,Switzerland,1906,1997
"Gijsman, P.N., zdl",1844/5-1919,445,,,Netherlands,1844/5,1919
"Gillis, Walter Emslie ()",1974-1954,446,,,Canada,1974,1954
"Gink, zr. J.M. van",1881-1965,447,,,Netherlands,1881,1965
"Ginsberg, Gustav, zdl.",1872-1943,448,,,Germany,1872,1943
"Glastra, zr. M.",1899-1985,449,,,Netherlands,1899,1985
"Gnirrep, Anna",,450,,,Netherlands,,
"Godau, Anna Rosine",1888-,451,,,Germany,1888,
"Godwin, Mrs.",,452,,,United States of America,,
"Goedhart, C., arts",,453,,,Netherlands,,
"Goemaat, Louise  (GZbl 1931, 198; 1937, 217)",1904-1992,454,,,Netherlands,1904,1992
"Goes, Wilhelmus van der, zwm",1823-1879?,456,,,Netherlands,1823,1879?
"Goetsch, August W.F., zdl",1844-1870,457,,,Germany,1844,1870
"Gokkel, zr. Aletta Maria",1874-,458,,,Netherlands,1874,
"Gonggrijp, Justus R.P.F., zdl  1831-1861)",1827-1909,459,,,Netherlands,1827,1909
"Goossen, zr. Helena",1889-1945,461,,,Russia,1889,1945
"Goossens, ds. S.J.P.",1902-1983,462,,,Netherlands,1902,1983
"Goris, mw. A.M., ond.",,463,,,Netherlands,,
"Gort, zr. G.",1897-,464,,,Netherlands,1897,
"Goslinga, J.J.J., arts",1906-1987,465,,,Netherlands,1906,1987
"Gotschall, Newton I., ond.",1893-1979,466,,,United States of America,1893,1979
"Göttin, J.W.",,467,,,Switzerland,,
"Goudoever, J. van, ond.",1900-1962,468,,,Netherlands,1900,1962
"Goudswaard, A., zdl",1830-1864,469,,,Netherlands,1830,1864
"Gouweloos, M.J., zdl",1898-1942,470,,,Netherlands,1898,1942
"Graaf, zr. Adriana Anneke de",1906-1974,471,,,Netherlands,1906,1974
"Graaf, C. de, zdl",1846-1905,472,,,Netherlands,1846,1905
"Graaf, zr. Car. Louise de",-1962,473,,,Netherlands,,1962
"Graaf, dr. H.J. de, ond.",1899-1984,474,,,Netherlands,1899,1984
"Graaf, K. de, zdl",1909-1944,475,,,Netherlands,1909,1944
"Graafland, N., ond.",1827-1898,476,,,Netherlands,1827,1898
"Graafstal, Dominicus",1871-1927,477,,,Netherlands,1871,1927
"Graafstal-vd Steur, S.M.",1868-1962,478,,,Netherlands,1868,1962
"Gräb, Karl Ludwig ()",1873-1939,479,,,Belgium,1873,1939
"Gräber, Ida",1980-1953,480,,,Germany,1980,1953
"Gramberg, K.P.C.A., arts",1895-1996,481,,,Netherlands,1895,1996
"Gramberg, ds. Th.W.B.G.",1897-1983,482,,,Netherlands,1897,1983
"Grashuis, mr. Gerhardus Jan",1835-1920,483,,,Netherlands,1835,1920
"Grau, W. zdl",1886-1924,484,,,Germany,1886,1924
"Graumann, Wilhelm",1906-2000,485,,,Germany,1906,2000
"Griebenow, Ms. Viola M.",,486,,,United States of America,,
"Griffin, David",,487,,,United States of America,,
"Grim(m), Johan P., zwm (D)",1812-1857,488,,,Netherlands,1812,1857
"Groep, Jacob van de",1885-1977,490,,,Netherlands,1885,1977
"Groesbeek, Cornelis",1874-1953,491,,,United States of America,1874,1953
"Grohe, A., zwm",1825-1891,492,,,Germany,1825,1891
"Grondel, Pieter Joh., zdl",1901-1955,493,,,Netherlands,1901,1955
"Grondsma, zr. Hilly",1898-1942/5,494,,,Netherlands,1898,1942/5
"Groot, Albertus Karel de, zdl.",1896-1975,495,,,Netherlands,1896,1975
"Groot, J.H. de, zdl",1891-1973,496,,,Netherlands,1891,1973
"Groot, dr. Klaas Pieter, arts",1888-1965,497,,,Netherlands,1888,1965
"Groot, zr. W.M. de",1907-1998,498,,,Netherlands,1907,1998
"Grootendorst, zr. G., zie G. Voordouw-Grootendorst",,499,,,,,
"Guillaume, Henri Alouis zdl",1865-1930,500,,,Germany,1865,1930
"Gunther, P., zwm",1833-1888,501,,,Netherlands,1833,1888
"Güse, Theodor, arts",1904-1936,502,,,Germany,1904,1936
"Guther, Ferdinand, verpleger",1905-1990,503,,,Germany,1905,1990
"Gützlaff, Karl Fr. A.",1803-1851,504,,,Germany,1803,1851
"Haaft, Dirk Albertus ten, zdl",1908-1988,505,,,Netherlands,1908,1988
"Haag, Pieter Bernardus, zdl",1844-1925,506,,,Netherlands,1844,1925
"Haan, A. de, zdl",1854-1921,507,,,Netherlands,1854,1921
"Haan, Enno, zdl",1845-1898,508,,,Netherlands,1845,1898
"Haan, J.G. de, zdl",1876-1959,509,,,Netherlands,1876,1959
"Haan, Fannie M. de, ond.",,510,,,Netherlands,,
"Haandrikman, G., diakones",1898-1986,511,,,Netherlands,1898,1986
"Haas, C. de, verpleger",,512,,,Netherlands,,
"Haas, ds. Willem Samuel de",1883-1973,513,,,Netherlands,1883,1973
"Haffner, Hugo, zdl.",1903-1982,514,,,Germany,1903,1982
"Hager, Fr. Chr. Wilhelm, zdl",1840-1900,515,,,Germany,1840,1900
"Haibach, Wilhelm, zdl",1880-1953,516,,,Germany,1880,1953
"Hall, Rev. C.J.",,517,,,United States of America,,
"Hamacher, Alwine, verpleegster",1889-1954,518,,,Germany,1889,1954
"Hamel, Rev. J. Carel",1897-1979,519,,,Netherlands,1897,1979
"Hamer, Gerard Pieter, ond.",1882-1966?,520,,,Netherlands,1882,1966?
"Hampp, Herrmann, zdl",1882-,521,,,Germany,1882,
"Hangelbroek, Hendr. Marg. Reb.",1903-,523,,,Netherlands,1903,
"Hansen, Mina",,524,,,Scandinavia,,
"Hanstein, Ludwig, zdl",1853-1929,525,,,Germany,1853,1929
"Hardeland, August, zdl",1814-1891,526,,,Germany,1814,1891
"Harder, Albert Gottfried, zdl",1870-1945,527,,,Germany,1870,1945
"Harder, Alfriede",1896-1971,528,,,Germany,1896,1971
"Harmsen, Leendert Karel, zdl",1844-1919,529,,,Netherlands,1844,1919
"Hartgerink, Jan Willem, arts",1887-1948,530,,,Netherlands,1887,1948
"Hartgerink, zr Elisabeth Louise Thérèse",1891-,531,,,Netherlands,1891,
"Harthoorn, S.E., zdl",1831-1883,532,,,Netherlands,1831,1883
"Hartig, F.",1804-1854,533,,,Germany,1804,1854
"Hartfeld, zr. S.",,534,,,Germany,,
"Hartweg, Friedrich Wilhelm, zdl",1891-1935,535,,,Germany,1891,1935
"Hartwig, Friedrich, zdl",1880-1930,536,,,Germany,1880,1930
"Haspers, Geziena",1906-1979,537,,,Netherlands,1906,1979
"Hasselmeyer, zr. E.",,538,,,Netherlands,,
"Hasselt, F.J.F. van, zdl",1870-1939,539,,,Netherlands,1870,1939
"Hasselt, J.L. van, zdl",1839-1930,540,,,Netherlands,1839,1930
"Hasselt, W.H.Th. van, zdl",1872/3-1930,541,,,Netherlands,1872/3,1930
"Hawthorne, Kath. Rader, zdl",1891-1980,542,,,United States of America,1891,1980
Hazewindus. zr. H.,1902-1986,543,,,Netherlands,1902,1986
"Hebbenaar, zr. Elberta C.L.",1909-1942,544,,,Netherlands,1909,1942
"Hebeler, Heinrich, zdl",1905-1982,545,,,Germany,1905,1982
"Hecker, Philipp. zdl",1892-1984,546,,,Germany,1892,1984
"Heemskerk, mw. M., ond.",,547,,,,,
"Heen, zr. A.",,548,,,Netherlands,,
"Heerig, Chr., zdl",1867-1918,549,,,Germany,1867,1918
"Heeringa, Gosse, ond.",1906-1985,550,,,Netherlands,1906,1985
"Heertjes, N., ond.",1880-1953,551,,,Netherlands,1880,1953
"Heidema, zr. A.J.  Foto GZbl 1936, 111",1903-1997,552,,,Netherlands,1903,1997
"Heider, Heinrich",1848-> 1892,554,,,Germany,1848,> 1892
"Heienbrock, Wilhelm, zdl",1855-1949,555,,,Germany,1855,1949
"Heijmering, G., zdl",1792-1867,556,,,Netherlands,1792,1867
"Hein, Piet, ond.",1895-,557,,,Netherlands,1895,
"Heine, Carl W., zdl",1833-1897,558,,,Germany,1833,1897
"Heine, Ludwig",1855-1884,559,,,Germany,1855,1884
"Heintze, K.E.E., zdl",1897-1981,561,,,Germany,1897,1981
"Hekstra, Doeke, ond.",1901-1972,562,,,Netherlands,1901,1972
"Hekstra-Koolstra, M.A.",1903-1945,563,,,Netherlands,1903,1945
"Held, dr. Gerrit Jan",1906-1955,564,,,Netherlands,1906,1955
"Hellendoorn, G.J., zdl",1792/3-1839,565,,,Netherlands,1792/3,1839
"Heller, Arn. H.O., zdl.",1864-1936,566,,,Germany,1864,1936
"Hellweg, Friedrich Wilh., zdl",1855-1886,567,,,Germany,1855,1886
"Helsdingen, mw. J.M. van",1887-1962,569,,,Netherlands,1887,1962
"Henkel, Anna",1888-1976,570,,,Germany,1888,1976
"Hendrich, Carl Christian, zdl",1837-1894,571,,,Germany,1837,1894
"Hendrich (Jr.), Carl Chr., zdl",1878-1964,572,,,Germany,1878,1964
"Hendriks, Hein, zdl",1854-1917,573,,,Netherlands,1854,1917
"Henke, Dorothea",1875-1945,574,,,Germany,1875,1945
"Henking, H., zdl",1884-1962,575,,,Switzerland,1884,1962
"Hennemann, Johann Ph., zdl",1835-1913,576,,,Germany,1835,1913
"Hensgen, Paul, zdl",1879-1918,577,,,Germany,1879,1918
"Hering, F.W. zdl",1899-1942,578,,,Germany,1899,1942
"Herling, Wilhelm. zdl",1874-1912,579,,,Germany,1874,1912
"Hermann, Carl Richard, zdl",1869-1905,580,,,Germany,1869,1905
"Hermann, Friederike L.",1879-1916,581,,,Germany,1879,1916
"Herrmann, C.T., zdl",1808-1851,582,,,Germany,1808,1851
"Hes, Joh. Cornelia, ond.",1884-1951,583,,,Netherlands,1884,1951
"Heuschmann, zr. Marie",1898-1964+,584,,,Germany,1898,1964+
"Heusdens, H.C., zdl",1904-1942,585,,,Netherlands,1904,1942
"Heuvel, M van den",,586,,,Netherlands,,
"Heyer, Philipp Jakob, zdl",1807-,587,,,Germany,1807,
"Hibbard, Rev. Elisha R.",-1945+,588,,,United States of America,,1945+
"Hiebink Rooker, J., zdl",1866-1943,589,,,Netherlands,1866,1943
"Hijkoop, Maarten Wl., diakon",1885-1981,590,,,Netherlands,1885,1981
"Hildering, ds. H.A.C.",1898-1986,591,,,Netherlands,1898,1986
"Himmelmann, J.H., zdl",-1841,592,,,Germany,,1841
"Hiorth, F.W. ()",,593,,,United Kingdom,,
"Hippenstiel, Ludwig, zdl",1971-1945,594,,,Germany,1971,1945
"Hissink, Jac. Assuerus",1880-1941,595,,,Netherlands,1880,1941
"Hoefman, Roelf",1900-1979,596,,,Netherlands,1900,1979
"Hoekendijk, C.J., zdl",1873-1948,597,,,Netherlands,1873,1948
"Hoekendijk, zr. Marg. Louisa",1902-1935,598,,,Netherlands,1902,1935
"Hoeksema, Auktje, ond.",1908-±2000,599,,,Netherlands,1908,±2000
"Hoekstra, arts G.J.",1907-1987,600,,,Netherlands,1907,1987
"Hoefen/Höfen, Carl L.A., zdl",1817-1890,601,,,Germany,1817,1890
"Hoezoo, Wessel, zdl",1826-1896,602,,,Netherlands,1826,1896
"Hoffmann, Martha",1899-1975,603,,,Germany,1899,1975
"Hoffmann, Wilhelm",1868-1920,604,,,Germany,1868,1920
"Hofman, zr. L.",1902-,605,,,Netherlands,1902,
"Hofman, Ph.H.C., zdl",1876/7-1919,606,,,Netherlands,1876/7,1919
"Hofmeister, Ernst Eduard",,607,,,Germany,,
"Hogerwaard, T. zdl",1908-1972,608,,,Netherlands,1908,1972
"Holland, Ms. A.J.",,609,,,United States of America,,
"Hollander, zr. H.H.B.",1907-2000,610,,,Netherlands,1907,2000
"Holmberg, Ms. Hilda. C.",,611,,,United States of America,,
"Holtz, F.W., zdl.",1799-1843,612,,,Germany,1799,1843
"Homan, M., ond.",1899-1991,613,,,Netherlands,1899,1991
"Hondius, mw. M.M., ond.",1904-1964,614,,,Netherlands,1904,1964
"Hooft, L.K. van 't, arts",1884-1938,615,,,Netherlands,1884,1938
"Hoogstraten, ds. S.A. van, zdl (!)",1896-1945,616,,,Netherlands,1896,1945
"Hoppe, Erwin, zdl",1906-1988,617,,,Germany,1906,1988
"Hoppe, F.W.H., zdl",1892-,618,,,Germany,1892,
"Hörchner, mw. J. G., arts",1905-1995,619,,,Netherlands,1905,1995
"Horley, Rev. Wm. Edw.",1870-1931,620,,,United States of America,1870,1931
"Horn, E.B.G. (Georg), ond.,",1888-1971,621,,,Germany,1888,1971
"Horn, H.A.",,622,,,United States of America,,
"Horn, Siegfried H.V.",1908-1993,623,,,Germany,1908,1993
"Hörsch, zr. M.",1900-1983,624,,,Switzerland,1900,1983
"Horst, F.C. van der, arts",1903-1977,625,,,Netherlands,1903,1977
"Horstman, Reginus Joh., zdl",1856-1924,626,,,Netherlands,1856,1924
"Houter, J.P.D. den, zdl",1871-1903,627,,,Netherlands,1871,1903
"Höveker, J.E., zdl,",1798-1873,628,,,Netherlands,1798,1873
"Hoven van Genderen, G. vd, zdl,",1915-1985,629,,,Netherlands,1915,1985
"Höweler, dr. Th.A.H., arts",1907-1994,630,,,Netherlands,1907,1994
"Howell, Ms. Mary E.",,631,,,United States of America,,
"Huber, J., zdl",1885-1951,632,,,Switzerland,1885,1951
"Hübert, Johann, zdl.",1864-1944,633,,,Russia,1864,1944
"Hudel, Ernst, zdl",1903-1996,634,,,Germany,1903,1996
"Hueting, André, zdl",1868-1961,635,,,Netherlands,1868,1961
"Huisingh, S., zdl",1848-1902,636,,,Netherlands,1848,1902
"Huisman, zr. K.",,637,,,Netherlands,,
"Huitema, mw. dr. W., arts",1907-1990+,638,,,Netherlands,1907,1990+
"Hulleman, zr. A.M., diakones",1898-1985,639,,,Netherlands,1898,1985
"Hulman, zr. A.F.G.",na 1956,640,,,Netherlands,na 1956,
"Hulman, Maria Antonia",1881-1963,641,,,Netherlands,1881,1963
"Hulstra, A., zdl",1865-1940,642,,,Netherlands,1865,1940
"Hulzebos, zr. E., diakones",1870-1945,644,,,Netherlands,1870,1945
"Hungerford, E.K.G.",,645,,,Austria,,
"Hupe, Johann Michael Carl, zdl",1818-1861,646,,,Germany,1818,1861
"Hupperts, Johann G., zdl",1812-1859,647,,,Germany,1812,1859
"Huvers, zr. H.J., diacones",1897-1978,648,,,Netherlands,1897,1978
"Hutchinson, Maude",,649,,,United States of America,,
"Huysingh, David",1855-1904,650,,,Netherlands,1855,1904
"Iken, zr. Alida  d.v. J. Iken, geb. Depok, † Btv",1890-1931,651,,,Netherlands,1890,1931
"Iken, J., zdl",1881-1944,653,,,Netherlands,1881,1944
"Illing, Helmut, zdl",1907-1979,654,,,Germany,1907,1979
"Ingham, E.",,655,,,United Kingdom,,
"Ingwersen, ds. H.Ph.",1878-1950,656,,,Netherlands,1878,1950
"Iperen, zr. Cornelia van",1894-1997,657,,,Netherlands,1894,1997
"Irle, Heinrich, zdl",1906-1983,658,,,Germany,1906,1983
"Irle, Tillman E., zdl.",1848-1921/2,659,,,Germany,1848,1921/2
"Israel, Johan H.Chr., zdl",1850-1935,660,,,Netherlands,1850,1935
"Jackson, Fred C.",-1942,661,,,United States of America,,1942
"Jacobs, Johan Gerard R.",1860-1920,662,,,Netherlands,1860,1920
"Jaesrich, G. , zwm",-1866,663,,,Germany,,1866
"Jaffray, Margaret ()",1907-1959,664,,,Canada,1907,1959
"Jaffray, Robert A. ()",1873-1945,665,,,Canada,1873,1945
"Janfrüchte, E., zdl",1844-1923,666,,,Germany,1844,1923
"Jansen, Arnoldus Hendrik",-1931,667,,,Netherlands,,1931
"Jansen, Gerben Jacob, ond.",1895-1944,668,,,Netherlands,1895,1944
"Jansen-v Engelen, M.B.",1911-1977,669,,,Netherlands,1911,1977
"Jansen Klomp, G.H., diakoon",1886-1952,670,,,Netherlands,1886,1952
"Jansen Schoonhoven, L., zdl",1905-1984,671,,,Netherlands,1905,1984
"Jansz, Cornelis Pieter, ond.",1886-1973,672,,,Netherlands,1886,1973
"Jansz, Pieter, zdl.",1820-1904,673,,,Netherlands,1820,1904
"Jansz, Pieter Anthonie, zdl",1853-1942/5,674,,,Netherlands,1853,1942/5
"Jaspers, G. arts",,675,,,Netherlands,,
"Jellesma, J.E., zdl",1816-1858,676,,,Netherlands,1816,1858
"Jenken, zr. Geertruida W.G.",1902-1959,677,,,Netherlands,1902,1959
"Jens, F.J., zdl",1889-1944,678,,,Netherlands,1889,1944
"Jens, K.Th., zdl",1893-1974?,679,,,Netherlands,1893,1974?
"Jens, W.L., zdl",1849-1925,680,,,Netherlands,1849,1925
"Jens(s)en, Ch.",,681,,,Scandinavia,,
"Jenssen, N.",,682,,,Scandinavia,,
"Jeschawitz, Horst, zdl",1901-1975,683,,,Germany,1901,1975
"Johannissen, S.",,684,,,Scandinavia,,
"Johannsen, Peter Hinrich, zdl",1839-1898,685,,,Germany,1839,1898
"Johannsen, Peter, arts",1894-1950,686,,,Germany,1894,1950
"Jong, zr. Geertje de",1911-1998,687,,,Netherlands,1911,1998
"Jong, Gjalt de, ond.",1900-1987,688,,,Netherlands,1900,1987
"Jong, dr. Jan Pieter de, arts",1901-1976,689,,,Netherlands,1901,1976
"Jong, Leentje de",1894-,690,,,Netherlands,1894,
"Jong, zr. T. de",1894-,691,,,Netherlands,1894,
"Jonge, mw. dr. J.A. de, arts",1892/3-1978,692,,,Netherlands,1892/3,1978
"Jonkman, H., ond.",1893-1957,693,,,Netherlands,1893,1957
"Joost, R.P.A.Ch. van, arts",1902-1943/5,694,,,Netherlands,1902,1943/5
"Jordan, Karl-Heinz",1911-1994,695,,,Germany,1911,1994
"Joustra, Meint, zdl",1871-1926,696,,,Netherlands,1871,1926
"Juda, E.E., arts",,697,,,Netherlands,,
"Judge, Bernard",1879-1959,698,,,Austria,1879,1959
"Juffernbruch, Fred., zdl",,699,,,Germany,,
"Jung, Georg Johannes, zdl",1862-1914,700,,,Germany,1862,1914
"Jungmichel, J.C., zdl",1787-1843,701,,,Germany,1787,1843
"Jüngst, A.",1860-1921,702,,,Germany,1860,1921
"Jürgens, Johannes, zdl",1887-1952,703,,,Germany,1887,1952
"Juutilainen, H. ()",,704,,,Finland,,
"Kaal, Hermanus, ond.",1902-1988,705,,,Netherlands,1902,1988
"Kabelitz, H.K.O., zdl.",-1929,706,,,Germany,,1929
"Kaiser, Herrmann W.F., zdl.",1869-1953,707,,,Germany,1869,1953
"Kaiser, Wilhelm, zdl",1904-1989,708,,,Germany,1904,1989
"Kal, E.Th., arts",1911-1966,709,,,Netherlands,1911,1966
"Kam, Joseph, zdl/pred.",1769-1833,710,,,Netherlands,1769,1833
"Kamma, dr. F.C., zdl",1906-1987,711,,,Netherlands,1906,1987
"Kammann, Wilhelm, zdl",1909-1942,712,,,Germany,1909,1942
"Kamp, zr. Frieda",1888-1964,714,,,Germany,1888,1964
"Kamp, Friedrich W., zdl.",1853-1928,715,,,Germany,1853,1928
"Kamps, J.D., zwm",1842-1871,716,,,Netherlands,1842,1871
"Kappner, Emil Oskar, zdl",1878-1934,717,,,Germany,1878,1934
"Karbe, F.W., zdl",1793-1828,718,,,Germany,1793,1828
"Karelse, ds. Jacobus",1900-1995,719,,,Netherlands,1900,1995
"Kate, B. Berends ten, ond.",1882-1938,720,,,Netherlands,1882,1938
"Kate, zr. H.F. ten",1894-1980,721,,,Netherlands,1894,1980
"Kate, Marius Anne ten, ond.",1893-1979,722,,,Netherlands,1893,1979
"Kate, Pieter ten, zdl  † 29-11-18",1880-1918,723,,,Netherlands,1880,1918
"Kate, zr. P.F. ten",1904-1995,724,,,Netherlands,1904,1995
"Kats, Jacob, zdl",1875-1945,725,,,Netherlands,1875,1945
"Keijser, P. de, zdl",1803/4-1840,726,,,Netherlands,1803/4,1840
"Keil, Klara, diakones",±1885-1937+,727,,,Germany,±1885,1937+
"Kekem, E.G. van, zdl",1902-1971,728,,,Netherlands,1902,1971
"Kelling, Fr., zwm",1829-1900,729,,,Germany,1829,1900
"Kelling, M., zdl",1863-1912,730,,,Netherlands,1863,1912
"Kelling, Paul, zdl",1865-1924,731,,,Netherlands,1865,1924
"Kemp, Margaret",,732,,,United States of America,,
"Kempen, dr. A.E. van arts",1909-?,733,,,Netherlands,1909,?
"Kempers, zr. C., diakones",1900-2000,734,,,Netherlands,1900,2000
"Kersten, Joh. Gottlieb, zdl ()",1860-1900,735,,,Germany,1860,1900
"Kessel, Valentin, zdl",1850-1932,736,,,Germany,1850,1932
"Ketel, dr. Arie Pieter, arts",1894-1971,737,,,Netherlands,1894,1971
"Keuch, Wilhelm, zdl",1903-1930,738,,,Germany,1903,1930
"Keuchenius, ds. Adr. François",1895-1944,739,,,Netherlands,1895,1944
"Keulemans, zr. A.F.C.",1912-2006,740,,,Netherlands,1912,2006
"Keyser, P., zdl",1801/2-1940,741,,,Netherlands,1801/2,1940
"Kieft, Nicolaas, zdl",1897-1942/5,742,,,Netherlands,1897,1942/5
"Kienlein, Heinrich, zdl",1876-1929,743,,,Germany,1876,1929
"Kijftenbelt, F., zdl",1835-1908,744,,,Netherlands,1835,1908
"Kijne, I.S., zdl",1899-1970,745,,,Netherlands,1899,1970
"Kime, Dallas Spencer",1889-1985,746,,,United States of America,1889,1985
"Kind, Fr. Chr. Wilhelm, zdl",1830-1859,747,,,Germany,1830,1859
"Kiss, Andreios von, arts",,748,,,Hungary,,
"Kissing, Margarete",1905-1998,749,,,Germany,1905,1998
"Klaassen, Johann, zdl.",1872-1950,750,,,Russia,1872,1950
"Klaassen, zr. Maria",1906-,751,,,Germany,1906,
"Klaassen, Thomas Fred., zdl",1836-1871,752,,,Netherlands,1836,1871
"Klaiber, J., zdl",1896-1962,753,,,Switzerland,1896,1962
"Klaiss, Johannes, ond.",1905-1962,754,,,Germany,1905,1962
"Klammer, J. Carl, zdl.",1826-1919,755,,,Germany,1826,1919
"Klappert, Erich, zdl",1908-1982,757,,,Germany,1908,1982
"Klarenbeek, W.N., zdl.",1888-1945,758,,,Netherlands,1888,1945
"Klaus, Armin V.",,759,,,United States of America,,
"Klaver, Piet",1890-1970,760,,,Netherlands,1890,1970
"Klaveren, Richard D. van",,761,,,United States of America,,
"Klein, zr. Elisabeth",1905-,762,,,Netherlands,1905,
"Kleine, Heinrich de",1901-1970,763,,,Germany,1901,1970
"Kleinjan, D.J., timmerman, smid",1883-1915,764,,,Netherlands,1883,1915
"Kleyn, dr. L.J., arts",1908-1944,765,,,Netherlands,1908,1944
"Klift, H. van der, zdl",1885-1952,766,,,Netherlands,1885,1952
"Klijnstra, Wolke, zdl",1864-1907,767,,,Netherlands,1864,1907
"Klinkert, H.C., zdl.",1829-1913,768,,,Netherlands,1829,1913
"Knecht, P.",1793/4-1823,769,,,Switzerland,1793/4,1823
"Ködding, Mathilde",1878-1951,770,,,Germany,1878,1951
"Ködding, Wilhelm, zdl",1837-1897,771,,,Germany,1837,1897
"Koelewijn, Dirk, ond.",1869-1936,772,,,Netherlands,1869,1936
"Koene, zr. Agatha Maria",1909-,773,,,Netherlands,1909,
"Koeverden Brouwer, G.H. v,an",1905-1953+,774,,,Netherlands,1905,1953+
"Kok, A., zdl",1885-1970,775,,,Netherlands,1885,1970
"Kok, Dirk, zdl",1890-1944,776,,,Netherlands,1890,1944
"Kolk, Jan Christoffel, zdl",1908-1987,777,,,Netherlands,1908,1987
"Kölling, W.J.",,778,,,Germany,,
"Kombrink, zr. M.",-1974,779,,,Netherlands,,1974
"Könemann, Willem, zdl",1905-1964,780,,,Netherlands,1905,1964
"Kooi, zr. Ietje",1906-,781,,,Netherlands,1906,
"Kooistra, A., zdl",1894-1969,782,,,Netherlands,1894,1969
"Koole, Jacob, ond.",1897-1944,783,,,Netherlands,1897,1944
"Koomen, P. de, ond.",1890-,784,,,Netherlands,1890,
"Koops-Veldkamp, ny. zr. C.",,785,,,Netherlands,,
"Korvinus, Hinka Laura, ond.",1913-1987,786,,,Netherlands,1913,1987
"Korvinus, ds. L.W.",1910-1975,787,,,Netherlands,1910,1975
"Koster, Johan Philip Daniel, zdl",1829-1864,788,,,Netherlands,1829,1864
"Kraemer, dr. H.",1888-1965,789,,,Netherlands,1888,1965
"Krafft, dr. A.J.C., ond.  theoloog, historicus, geograaf",1892-1964,790,,,Netherlands,1892,1964
"Kramer, Friedrich, zdl",1844-1920,792,,,Germany,1844,1920
"Kranz, Sophie P.",-1896,793,,,Germany,,1896
"Krautschick, A.I.",,794,,,Germany,,
"Kreck, Fritz, zdl",1905-1982,795,,,Germany,1905,1982
"Kreemer, J., zdl",1844/5-1907,796,,,Netherlands,1844/5,1907
"Krieg, Elfriede, ond.",1889-> 1952,797,,,Germany,1889,> 1952
"Krijger-Hulleman, A.M., zie Hulleman, A .M.",,798,,,,,
"Krijger, ds. L.P.",1884-1977,799,,,Netherlands,1884,1977
"Krijger, D.H., verpleger",1893-1987,800,,,Netherlands,1893,1987
"Kroeskamp, dr. H., ond.",1897- 1977,801,,,Netherlands,1897,1977
"Kroeze, zr. Grietje Rensina",1903-2005,802,,,Netherlands,1903,2005
"Kroh, Paul, zdl.",1897-1981,803,,,Germany,1897,1981
"Kronshage, zr. Antonie",1884-,804,,,Germany,1884,
"Kruit, zr. Petr. van der",1897-,805,,,Netherlands,1897,
"Kruijver, zr. Maartje",1894-,806,,,Netherlands,1894,
"Krul, P., zdl",1878-1945,807,,,Netherlands,1878,1945
"Krumm, Ewald F.",1866-1903,808,,,Germany,1866,1903
"Krüsmann, F.W., zdl",-1837,809,,,Germany,,1837
"Kruyt, A., zdl",1860-1916,810,,,Netherlands,1860,1916
"Kruyt, dr. Alb.C., zdl",1869-1949,811,,,Netherlands,1869,1949
"Kruyt, D.J., diakones",1882-,812,,,Netherlands,1882,
"Kruyt, H.C., zdl.",1862-1922,813,,,Netherlands,1862,1922
"Kruyt sr., J., zdl",1835-1918,814,,,Netherlands,1835,1918
"Kruyt jr., J., ond., zdl",1893-1978,815,,,Netherlands,1893,1978
"Kruyt, mw. J. (""Asje""), arts",1910-1974,816,,,Netherlands,1910,1974
"Kruyt, zr. Maria (""Miep"")",1911-1953,817,,,Netherlands,1911,1953
"Kübler, Otto, zdl-koopman",1874-1935+,818,,,Germany,1874,1935+
"Kuckel, Elise, ond.",1893-1990,819,,,Germany,1893,1990
"Kühnen, Carl Rudolf, zdl.",1865-1935,820,,,Germany,1865,1935
