nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Baars, Dingeman Joh., zdl",1907-2000,51,,,Netherlands,1907,2000
"Baier, Georg",1894-1987,52,,,Germany,1894,1987
"Bakker, Dirk,",1865-1932,53,,,Netherlands,1865,1932
"Bakker, Dirk, arts",1898-1973,54,,,Netherlands,1898,1973
"Bakker, F.L.",1893-1971,55,,,Netherlands,1893,1971
"Bakker, G.F.C., zdl",1897-1954,56,,,Netherlands,1897,1954
"Bakker, P., ond.",,57,,,Netherlands,,
"Balen, J.A. van, zdl.",1854-1941,58,,,Netherlands,1854,1941
"Baljon, J.M.S., zendeling",1891-1978,59,,,Netherlands,1891,1978
"Baltin, zr. A.",-1942/45,60,,,Netherlands,,1942/45
"Bansemer, C.L., zdl.",1885-1953,61,,,Germany,1885,1953
"Bär, Chr. G., zdl.",,62,,,Netherlands,,
"Bär Sr., J.J., zdl.",1786-1851,63,,,Switzerland,1786,1851
"Bär Jr., J.J., zdl",1829/30-'84,64,,,Netherlands,1829/30,'84
"Barnstein, Joh. Heinrich, zdl.",1802-1863,65,,,Germany,1802,1863
"Barreveld, zr. Teuntje H.",1902-1978,66,,,Netherlands,1902,1978
"Bart, Johann, zdl.",1893-1943,67,,,Switzerland,1893,1943
"Barth, Wilhelm, zdl.",1869-1950,68,,,Germany,1869,1950
"Bassfeld, Dietrich",1877-1940,69,,,Germany,1877,1940
"Bast, Tijmen, arts",1899-1999,70,,,Netherlands,1899,1999
"Baughman, Rev. Burr J.,",1887-1920,71,,,United States of America,1887,1920
"Bauszat, Chr., zdl",1879-1914,72,,,Germany,1879,1914
"Bauszat-Pistor, Paula",1877-1948,73,,,Germany,1877,1948
"Bavinck, dr. J.H.",1895-1964,74,,,Netherlands,1895,1964
"Bax, Hendrik, zdl.",1887-1940,75,,,Netherlands,1887,1940
"Becker, Emil",1882-1955,76,,,Germany,1882,1955
"Becker, Johann Friedrich",1811-1849,77,,,Germany,1811,1849
"Becker, Karl",1876-1923,78,,,Germany,1876,1923
"Becker, Wilhelm . Dir. PT Becker Brand te Sibolga, penasihat RMG",,79,,,Germany,,
"Beckman Lapré, mw. L.M.",,80,,,Netherlands,,
"Bedet, Jozias S., arts",1914-1944,81,,,Netherlands,1914,1944
"Beek, H. van de, zdl > ond.",1897-1961,82,,,Netherlands,1897,1961
"Beek, W. van de, zdl.",1888-1954,83,,,Netherlands,1888,1954
"Beekman, Fred. Gerard.",1870-,84,,,Netherlands,1870,
"Beekman, Hendrik Clement",1896-1975,85,,,Netherlands,1896,1975
"Beel, Theodor",1906-1972+,86,,,Germany,1906,1972+
"Been, M.",1838-1882,87,,,Netherlands,1838,1882
"Beisenherz, Auguste",1865-1961,88,,,Germany,1865,1961
"Beisenherz, Daniel G.C.",1872-1952,89,,,Germany,1872,1952
"Bekkering, mw. M.J., ond.",,90,,,Netherlands,,
"Belksma, A., ond., zdl.",1909-1945,91,,,Netherlands,1909,1945
"Belksma, J., ond., zdl.",1884-1942,92,,,Netherlands,1884,1942
"Ben, zr. A.A.C. van der",1892-1966,93,,,Netherlands,1892,1966
"Bent, Nic. W. van der, zdl",1913-1982,94,,,Netherlands,1913,1982
"Benthem Jr., J. van, zdl",1890-1968,95,,,Netherlands,1890,1968
"Berends ten Kate, B., ond., zie Kate, B. Berends ten",,96,,,,,
"Berg, Jelle, arts",1895-1982,97,,,Netherlands,1895,1982
"Berg, E.J. van den, zdl",1873-1955,98,,,Netherlands,1873,1955
"Berg, H.W. van den, zdl",1895-1945,99,,,Netherlands,1895,1945
"Berg, W.H. van den, zdl",1897-1966,100,,,Netherlands,1897,1966
"Berger, Carl",1875-1947,101,,,Germany,1875,1947
"Berger, Heinrich Julius",-1845,102,,,Germany,,1845
"Berghäuser, Heinrich, zdl.",1906-1999,103,,,Germany,1906,1999
"Bernard, William J.",1866-1945,104,,,United Kingdom,1866,1945
"Bertsch, mw. K.",1890/1-1982,105,,,Germany,1890/1,1982
"Bervoets, dr. H., arts",1867/8-1933,106,,,Netherlands,1867/8,1933
"Best, Cornelis de, zdl.",1837-,107,,,Netherlands,1837,
"Bettink (Betting), H., zdl",1840-1916,108,,,Netherlands,1840,1916
"Betz, Alfred , zdl.,",1905-1976,109,,,Germany,1905,1976
"Betz, Fred. Willem, zdl.",1832-1881,110,,,Netherlands,1832,1881
"Betz, Gottlieb M.C.Ch., zdl.",1874-1947,111,,,Germany,1874,1947
"Betz, mw. Mimi, ond.",,112,,,Netherlands,,
"Beukhof, J., zwm",1830-1900,113,,,Netherlands,1830,1900
"Beunders, Henri P.G., ond.,",1878-1956,114,,,Netherlands,1878,1956
"Beyer, August Wilhelm",1815-1882,115,,,Germany,1815,1882
"Beyer, Carl Aug. Hermann, zwm",±1840-1918,116,,,Germany,±1840,1918
"Beyer, R. , zwm",-1871+,117,,,Germany,,1871+
"Bezemer, Tammo Jacob, zdl",1869-1944,118,,,Netherlands,1869,1944
"Bieger, Johannes Nicolaas, zdl.",1877-1967,119,,,Netherlands,1877,1967
"Bieger, Phil., zdl",1841-1911,120,,,Netherlands,1841,1911
"Bielefeld, Carl, zdl.",1878-1966,121,,,Germany,1878,1966
"Bielski, zr. Alice I.",1882-1944?,122,,,United States of America,1882,1944?
"Bierdrager, Jacob, arts",1903-1984,123,,,Netherlands,1903,1984
"Bierhuys, M.",,124,,,Netherlands,,
"Bierkuis, mw. L., ond.",,125,,,Germany,,
"Biersteker, zr. Jannetje,  IM GZbl 1971, 138",1903-1971,126,,,Netherlands,1903,1971
"Biezen, A. van der, ond.",1901-1930,128,,,Netherlands,1901,1930
"Bigler, W., zdl.",1903-1976,129,,,Switzerland,1903,1976
"Bijkerk, J., ond.",,130,,,Netherlands,,
"Bijkerk, Jac., zdl",1887-1978,131,,,Netherlands,1887,1978
"Bijl, zr. Jansje",1896-1946+,132,,,Netherlands,1896,1946+
"Bijl, Adr. van der, ond.",1898-1945,133,,,Netherlands,1898,1945
"Bijlefeld, Jan, zdl.",1895-1934,134,,,Netherlands,1895,1934
"Bijsterveld, Arie, arts",1898-,135,,,Netherlands,1898,
"Bikker, ds. A.",1898-1977,136,,,Netherlands,1898,1977
"Billmann, H., zdl",1883-1964,137,,,Germany,1883,1964
"Bink, Gerardus L., zwm > zdl",1844-1899,138,,,Netherlands,1844,1899
"Bittner, Linus H., arts",1890-1959,139,,,United States of America,1890,1959
"Blecher, Friedrich, zdl.",1866-1939,140,,,Germany,1866,1939
"Bliek, A.J., zdl,",1873-1946,141,,,Netherlands,1873,1946
"Blinde, Joost Hendrik, zdl",1873-1948,142,,,Netherlands,1873,1948
"Block, mw. Helene",1874-1945,143,,,Germany,1874,1945
"Blomberg, zr. Lamberta H.",1903-1989,144,,,Netherlands,1903,1989
"Böckmann, mw. Laura",1844-1903,145,,,Germany,1844,1903
"Bodaan, Laurens, zdl",1878-1966,146,,,Netherlands,1878,1966
"Boddé, J., zdl",1849-1917,147,,,Netherlands,1849,1917
"Bode, Werner A., zdl",1890-1942,148,,,Germany,1890,1942
"Bode, A. de, zdl",1839-1873,149,,,Netherlands,1839,1873
"Boer-de Raadt, zr. Sophia Maria Gerardina de",1866-1949,150,,,Netherlands,1866,1949
"Boer, Pieter de",1876-1961,151,,,Netherlands,1876,1961
"Boer, Reyer de, zdl .",1835-1891,152,,,Netherlands,1835,1891
"Boetzelaer van Asperen en Dubbel­- dam, C.W.T. baron van",1973-1956,153,,,Netherlands,1973,1956
"Bogaards, zr. Antje",1913-,155,,,Netherlands,1913,
"Boger, F., zdl.",1884-1942,156,,,Germany,1884,1942
"Böhl, Bertha, diakones",1886-1972,157,,,Germany,1886,1972
