nama orang,geb/overl.,id
"Peddemors, Willem, arts (N)",1906-1997,1073
"Pelzer, zr. Margarethe (D)",1909-1948,1074
"Pennings, Abr., zdl (N)",1875-1966,1075
"Pennings, Ant.A., zdl (N)",1870-1902,1076
"Perdok, Hindrik, zdl (N)",1908-1979,1077
"Perkins, Rev. Raymond G. (VS)",1884-,1078
"Phillips, Joseph Luxford, zdl (GB)",1783-1820,1079
"Piccer, Johanna (N)",1887-1945,1080
"Pichler, Aug. R. Erich, zdl (D)",1883-1965,1081
"Pieper, Adolf, zdl (D)",1882-1929,1082
"Pieron, ds. Alle Fred. Joh. (N)",1908-1944,1083
"zie GZbl 1940, 63",,1084
"Pieters, Jan Hendrik, zdl (N)",1883/4-1978,1085
"Pieters, zr. T. (N)",,1086
"Pijsel, mw. A., arts (N)",1878-1929,1087
"Pik, J., zdl (N)",1881-1955,1088
"Pilgenröder, Adolf, zdl (D)",1869-1949,1089
"Pilgram, Gustav, zdl (D)",1848-1913,1090
"Pilon, Pieter J.J.R.T. arts (N)",1883-1958,1091
"Pinckney, Charles E., arts (VS)",,1092
"Pistor, Paula Bauszat- (D)",1877-1948,1093
"Pistor, Ruth (D)",1905-1997,1094
"Plaum, Wilhelm, zdl. (D)",1905-,1095
"Ploeger, Albertus, zdl (N)",1905-1986,1096
"Ploegman, W.F., ond. (N)",1805-1873,1097
"Poel, J. van der, zdl (N)",1892-1972,1098
"Poensen, C., zdl (N)",1836-1919,1099
"Pohlig, Peter, zdl (D)",1860-1915,1100
"Pohlmann, William J., zdl (VS)",,1101
"Pol, H., zdl. (N)",1898-1972,1102
"Polet, Willem Hendrik (N)",1895-1992,1103
"Pontier, zr. Paulina Johanna (N)",1885-1918,1104
"Poot, A., zdl (N)",1901-1978,1105
"Poppy, Jemima, ond. (GB)",1818-1869,1106
"Por, zr. G. (N)",1888-,1107
"Pos, ds. A. (N)",1888-1971,1108
"Pos, ds. W. (N)",1856/7-1914,1109
"Post, Harry W., zdl (VS)",,1110
"Post, Walter M., zdl (VS)",,1111
"Postema, zr. Etje",1906-,1112
"Postema, zr. Trijntje (N)",1912-,1113
"(GZbl 1939, 255)",,1114
"Poutiainen, Toivo (Finland)",±1900-'38,1115
"Präger-Lenk, zie Lenk",,1116
"Presswood, W. Ernest, zdl (Canada)",1908-1946,1117
"Prins, D.C., zdl (N)",1888-1945,1118
"Prins-Hardeman, B.A., ond. (N)",1888-1967,1119
"Prins, zr. Jantje, verpl. (N)",1890-,1120
"Probst, Karl, zdl (D)",1865-1918,1121
"Proosdij, C. van, arts (N)",1887-1949,1122
"Proud, R. (GB?)",,1123
"Pruijs, dr. Hendrik Simon, arts (N)",1866-1944/5,1124
"Pruijs, Willem Marie, arts (N)",1901-1982,1125
"Pruis, dr. Geert Wl .Adr, arts (N)",1899-1959,1126
"Prüsener, Franziska (D)",1874-1953,1127
"Prussner, A.H., arts (VS)",1884-1947,1128
"Puik, Rijk, ond. (N)",1908-,1129
"Püschel, Agnes A.S., ond. (D)",1887-1961,1130
"Püse, Heinrich, zdl (D)",1841-1920,1131
"Put, Lulof Hendrik, zdl (N)",1911-1956,1132
"Putten, Marius van, ond. (N)",1888-1975,1133
"Pykett, Rev. G.F. (VS)",,1134
"Quentmeyer, Ernst, zdl (D)",1875-1962,1135
"Quistorp, Hanna (D)",1893-1981,1136
"Raatschen, Heinrich, zdl (D)",1901-1945,1137
"Rabeneck, Heinrich, zdl (D)",1875-1939,1138
"Rade, Lisbeth A.D. (D)",1893-1956,1139
"Rado, Tabor, arts (Hongaria)",1893-1926+,1140
"Ramaker, D. (N)",1890-,1141
"Randwijck, S.C. Graaf van (N)",1901-1997,1142
"Raycroft, Ms. Ruby A., ond. (VS)",,1143
"Rebuschat, Gustav, zdl (D)",1905-1984,1144
"Redinger, June E., ond. (VS)",,1145
"Reenen, ds. G.J. van (N)",1905-1964 ,1146
"Reichler, Frieda (D)",1900-1978,1147
"Reichl, zr. Marianne (D)",1913-1950,1148
"Reinartz, Hildegard, ond. (D)",1900-1969,1149
"Reinshagen, Amalie (D)",1862-?,1150
"Reiter, H., zdl (D)",1896-1942,1151
"Reitze, Heinrich, zdl (D)",1862-1938,1152
"Renes, G.J., arts (N)",1914?-1986?,1153
"Renes, Jan, ond. (N)",1899-1970,1154
"Renken, Anton, zdl (D)",1859-1928,1155
"Reynhout, J., ond. (N)",1899-1997,1156
"Richert, zr. Susanna (Rusland)",,1157
"Richter, W. (D), zwm (D)",1823-1885,1158
"Riedel, J.F., zdl (D)",1798-1860,1159
"Riedel, Karl (D), zdl",1892-1953,1160
"Rienecker, Pauline Helene (D)",1876-1922,1161
"Rihs, Arnold, zdl (Zwits.)",1907-1981,1162
"Rijkhoek, Daniël, zdl (N)",1887-1970,1163
"Rijkhoek, Jannetje Maria (N)",1894-1974,1164
 (Jean­nette),,1165
"Rijn, Christiaan van, zdl (N)",,1166
"Rinck, zr. Wilh. Chr. (N)",1905-,1167
"Rinnooij, Nicolaas, zdl (N)",1841-1913,1168
"Ritsema, J., zdl (N)",1884-1950,1169
ongehuwd gebleven,,1170
"Rittich, Robert (D)",1892-1973,1171
"Robinson, William, zdl (GB)",1784-1853,1172
"Röder, H., bouwkundige (D)",1901-1970,1173
"Roepman, zr. Elizabeth Maria (N)",1880-,1174
"Roest Jr, C. van der, drukker (N)",1874 -1926,1175
"Roest, J.L.D. van der, zdl (N)",1867-1950,1176
"Rohde, Eleonora C. (VS)",1891-1970? ,1177
"Rolff, zr. C.W., diacones (N)",1885/6-1976,1178
"Rooker, Hessel, zdl (N)",1830-1915,1179
"Rooker, J.H. zie Hiebink R.",,1180
"Roorda van Eysinga, zr. H.J. (N)",1903-1996,1181
"Roose, zr. Corn. Mart., diacones (N)",1881-1961,1182
"Rooseboom, Jacominus Arn., zdl (N)",1901-1971,1183
"Rooy, zr. M.J. de (N)",,1184
"Rosenlund, Edward (Finland)",-1939,1185
"Roskes, J.W., zdl (N)",1843-1918,1186
"Roskott, B.N.J., ond. (D)",1811-1873,1187
"Roslund, mw. N.A.K., vroedvrouw (Skand.?)",,1188
"Rott, Ferdinand, zdl (D)",1823-1859,1189
"Röttger, E.H., zdl (D)",1801-1852+,1190
"Royer, dr. G., arts (N)",1889-1958,1191
"Rübcke, Elly (D)",1905-2001,1192
"Ruden, C.L., zdl (D)",1808-1842,1193
"Rudersdorf, Otto, zdl (D)",1869-1952,1194
"Ruijssenaers, ds. Gerrit Joh. (N)",1875-1907,1195
"Ruijter, H. H. de, diakones (N)",1867-1936,1196
"Russmann, Annemarie (D)",1868-..,1197
"Rutgers, Jacqueline C. (N)",1874-1951,1198
"Rutgers, Jeremina Fred., ond. (N)",1882-1964,1199
"Ruth, E. Naomi (VS)",,1200
"Rutkowsky, Alfred, zdl (D)",1908-2002,1201
"Ruttink, H.C.G., zdl (N)",1876-1958,1202
"Ruysch v Dugteren, E.M.H., zdl (N)",1886-1915,1203
"Saathof, Daniël, ond. (N)",1895-1957,1204
"Sadler, Ms. E. (VS)",,1205
"Sande, Andrew, zdl (VS)",-1942,1206
"Sandell, zr. Anna Amelia (VS)",1875-1942,1207
"Sander, zr. Adriana Clasina (N)",1901-1973,1208
"Sartor, Edmund, zdl (D)",1883-1941,1209
"Savornin Lohman, jkvr. zr. Eli­sa­beth Johanna de (N)",1903-Mei '45,1210
"Schaafsma, A.O., zdl (N)",1830-1896,1211
"Schaafsma-de Jong, H., ond. (N)",1859-1923,1212
"Schächter, Martha (D)",1896-1989,1213
"Schärer, dr. Hans, zdl (Zwits.)",1904-1947,1214
"Scheffer, zr. Y. (N)",1901-'66[?],1215
"Scheffler, Johanna Bertha (D)",1883-,1216
"Schekelmann, zr. Sophie (D)",1906-1990,1217
"Schelfhorst, F., zdl (N)",1872-1942/5,1218
"Schell, H.E.R. (VS)",,1219
"Schelven, Maria Johanna van (N)",1882-1934,1220
"Schepper, mr. dr. J.M.J. (N)",1888-1967,1221
"Schernus, Martin (D)",1879-1933,1222
"Scherrer, J.E.E., zdl (Zwits.)",1889-1964,1223
"Scheurer, Jan Gerrit, arts (N)",1864-1928,1224
"Schildmann, Ewald, zdl (D)",1910-1989,1225
"Schilstra, Sybren, zdl (N)",1840-1909,1226
"Schlipköter, Emil, zdl (D)",1879-1965,1227
"Schlipköter, zr. F. (D)",1872-1920,1228
"Schmid, Fr. (Zwits.)",1892-1950,1229
"Schmiedeskamp, mw. A., ond. (D)",1893-1959,1230
"Schmidt, Friedrich (D)",1868-1936,1231
"Schmidt, Isaac Chester (VS)",1887-1978,1232
"Schmidt, Johannes C.A., zwm (D)",1831-,1233
"Schmidt, R., zdl (D)",1909-1960,1234
"Schmidt, Wilhelm, zdl (D)",1871-1941,1235
"Schmitt, Hermann, zdl (D)",1898-1942,1236
"Schmitt, Lydia (D)",1897-1965,1237
"Schmitz, Johann Gerhard (N)",1880-±1940,1238
"Schnatbaum, Wilhelm, zdl (D)",1887-1961,1239
"Schneider, Alfred (D)",1905-1992,1240
"Schneider, Friedrich G., zdl (D)",1880-1965,1241
"Schneider, G.J., zdl (D)",1890-1942,1242
"Schneider, Robert, zdl (D)",1884-1961,1243
"Schniepp, zr. Lydia E. (D)",,1244
"Schoch, M.L.W., diakones (N)",1876-1962,1245
"Schoepe, Walter, ond. (D)",1903-,1246
"Scholten, G.H. zdl (N)",1884-1926,1247
"Scholten, G.J. arts (N) (zv H.H. Sch.)",±1910-1939,1248
"Scholten, Hindrik Henderikus (N)",1881-1944,1249
"Schot, C.G., zdl (N)",1827-1874,1250
"Schrey, Johannes, zdl (D)",1852-1927,1251
"Schreiber, August W., zdl (D)",1839-1903,1252
"Schreiber, Chr., zdl (D)",1886-1965,1253
"Schreiber, Fr. Carl, zdl (D)",1886-1963,1254
"Schreiber, Frieda (D)",1877-1951,1255
"Schreiber, Dr. Werner J., zdl (D)",1872-1941,1256
"Schreuder, mw. Ch.H., arts (N)",1911-1966,1257
"Schröder, C.J.M.L. (D), zwm (D)",1830-1885,1258
"Schröder, G.F., zdl (N)",1868-1927,1259
"Schröder, zr. L. (N)",,1260
"Schröder, Willem Frederik, zdl (N)",1889-1969,1261
"Schrok, Herman Corn., arts (N)",1907-1969,1262
"Schuh, B., zdl (Fr.)",1823/4-'62+,1263
"Schuijt, Pieter, zdl (N)",1884-1980,1264
"Schulz, Rudolf U.W., zdl (D)",1893-1984,1265
"Schumann, Rudolf, zdl (D)",1882-1948,1266
"Schuringa, zr. M. (N)",1892-1986,1267
"Schuringa, zr. S.J. (N)",1900-1983,1268
"Schut, J.A.F., zdl (N)",1871-1931,1269
"Schütz, Philipp Chr., zdl (D)",1838-1922,1270
"Schuurman, dr. B.M., zdl (N)",1889-1945,1271
"Schuurman, zr. M. (N)",1892-1977,1272
"Schuurmans, J., zdl (N)",1896-1963,1273
"Schuurmans, Nic. Dirk, zdl. (N)",1838-1908,1274
"Schwab, Ms. Elsie (VS)",,1275
"Schwartz, Alfred, zdl (D)",1905-1942,1276
"Schwarz, G., zdl (D)",1892-1933,1277
"Schwarz, Joh. Alb. Traugott, zdl (N)",1836-1918,1278
"Schwarz, J.G., zdl. (D)",1800-1859,1279
"Schweflinghaus, Elly (D)",1907-1993,1280
"Schweitzer, H., zdl (D)",1904-1942,1281
"Seely, Philoma R. (VS)",,1282
"Seher, Franz Heinrich, zdl (D)",1864-1925,1283
"Seibel, Frida, ond. (D)",1911-,1284
"Seibold, K., zdl (D)",1887-1965,1285
"Senk, Paul, zdl (D)",1902-1971,1286
"Shover, Rev. J.C. (VS)",,1287
"Sickinger, O.E., arts (D)",1888-1933,1288
"Siderius, zr. Sara (N)",1891-1971,1289
"Siegler, Helene, ond. (D)",1906-2002,1290
"Siegner, J., zdl (D)",1909-1942,1291
"Siemens, Jakob, zdl. (Rusland)",1876-,1292
"Sigel, Hugo Ferd., arts (D)",1895-1969,1293
"Simon, Gottfried Karl, zdl (D)",1870-1951,1294
"Simon, G., arts (D)",1897-,1295
"Simoneit, August, zdl (D)",1842-1886,1296
"Skadsheim, zie Tunheim",,1297
"Skubinna, Fr. Wilh., zdl (D)",1885-1965,1298
"Slagter, zr. Cornelia (N)",1866-1943,1299
"Slater, John, zdl (GB)",1789-,1300
"Slettenaar, H., arts (N)",1899-1977,1301
"Sloot, Reinder, ond. (N)",1886-1931,1302
"Slotemaker de Bruïne, mw. C. (N)",1900-1987,1303
"Slotemaker de Bruïne, dr. M.C. (N)",1897-1986,1304
"Slotemaker de Bruïne, dr. NAC (N)",1895-1969,1305
"Slump, F., zdl (N)",1896-1972,1306
"Smalbraak, J., arts (N)",1908/9-1998,1307
"Smeding, Hendrik, zdl (N)",1833-1891,1308
"Smit, Gezinus, zdl (N)",1883-1958,1309
"Smit, zr. P., diakones (N)",,1310
"Smit, Wolter Arinus zdl (N)",1906-1976,1311
"Snuggs, Ed. Thom, zdl (GB?)",1860-?,1312
"Soeting, zr. Hill. Pieter­nella (N)",1907-2002,1313
"Solinger, D., zdl (N)",1913-1969,1314
"Spangenberg, zr. J. (D?)",,1315
"Spellenberg, Corn., ond. (D)",1904-...,1316
"Spethmann, Charlotte (D)",1872-1947,1317
"Spiegel, Hendrik van der, zdl (N)",1865-1919,1318
"Spiecker, Wilhelm, zdl (D)",1874-1931,1319
"Spiller, Anna Maria Ruth (Zwits.?)",1907-2000,1320
"Splunder, Jeremias van, zdl (N)",1858-1886,1321
"Spoelstra, mw. A., ond. (N)",-1930,1322
"Sporket, Julius, zdl (D)",1868-1955,1323
"Spreeuwenberg, H., zdl (N)",1907-1951,1324
"Sprenger, Henriette (D)",1866-1918,1325
"Stade, W., zdl (N)",1889-1926,1326
"Stahlie, T.D., arts (N)",1914-2009,1327
"Stam, Pieter, zwm (N)",1822-1889,1328
"Stamer, Rev. John P. (VS)",,1329
"Stap, J.E., zdl (N)",1883-1946,1330
"Starink, J., zdl (N)",1787/8-1828,1331
"Starkey, Earl F., ond. (VS)",,1332
" Starrenburg, D.B., zdl (N)",1880-1946,1333
"Staudt, F.M., ond. (N)",1906-1945,1334
"Staudt-Burmania, mw. R., ond. (N)",1904-2002,1335
"Staudte, Fr. Wilhelm, zdl (D)",1845-1884,1336
"Stauffer, Otto, zdl. (D)",1904-1942,1337
"Steele, William Henry, zdl (VS)",1818-1905,1338
"Steenbergen, Femmie, ond. (N)",1916-1947,1339
"Steenstra, zie Stenstra",,1340
"Stefanski, Ms. Pauline, ond. (VS)",1881-1965,1341
"Stegerhoek, zr. J.E. (N)",1916-,1342
"Steinbrecher, Wilhelm, zdl (D)",1862-1919,1343
"Steingräber, Paul, zdl (D)",1884-1973,1344
"Steinhard, Johannes, zdl (D)",1905-1966,1345
"Steinhart, Willem Leonard, zdl (N)",1898-1982,1346
"Steinmetz, zr. W.H.C. (N)",,1347
"Steinsieck, Wilhelm, zdl (D)",1855-1924,1348
"Steller, mw. Auguste S Steller, ond. ",1900-,1349
"Steller, E.T. (Steller), zwm (D)",1834-1897,1350
"Steller, mr. K.G.F., zdl (N)",1875-1945,1351
"Stelwagen, Uilke, ond. (N)",1900-1965,1352
"Stenstra, Willem Corn., ond. (N)",1884-1928,1353
"Steur, Emile van der (N)",1901-42/5?,1354
"Steur, Joh. Hendrica, zie Mol",,1355
"Steur, Johannes (""Pa"") van der (N)",1865-1945,1356
"Stingel, Otto, zdl (D)",1874-1945,1357
"Stoett, Janna Lucia (N)",1894-1951,1358
"Stokking, Hendrik J., zdl (N)",1878-1928,1359
"Stokkum, Marinus W.Th. v, arts (N)",1881-1958,1360
"Stolk, zr. C.G. (N)",,1361
"Stoové, Hendrik, zdl (N)",1840-1901+,1362
"Storm, G.C., zdl (N)",1894-1941,1363
"Storm, K., zdl (N)",1864-1906,1364
"Strijker, Pietertje, verpl. (N)",1901/5?-,1365
"Strötker, Friedrich, zdl (D)",1863-1930,1366
"Stryker, Isaac, zdl (VS)",-1842,1367
ongehuwd gebleven,,1368
"Stuffers, mw. C., ond. (N)",,1369
"Stuivenga, J.H. (N/VS)",,1370
"Stursberg, Gustav, zdl (D)",1853-1916,1371
"Stuut, zr. Helena Tallina (N)",1898-1988,1372
"Stuut, zr. S. (N)",,1373
"Sullivan, Rev. Floyd H. (VS)",1885/6-,1374
"Sundermann, H.H.W., zdl (D)",1855-1947,1375
"Sundermann, Wilh. H., zdl (D)",1849-1919,1376
"Supper, J.C., zdl (D)",1782-1816,1377
"Sybenga, zr. Tjitske Jantina (N)",1908,1378
"Swaan, W., zdl (VS?)",,1379
"Swanborn, Adr. Jac., ond. (N)",1872-1945,1380
"Swellengrebel, dr. Jan Lod. (N)",1909-1984,1381
"Szasz, Laszlo, arts (Hongaria)",,1382
"Talens, J.P., zdl (N)",1878-1971,1383
"Tanis, J., ond. (N)",1898-1994,1384
"Tauffmann, C.E.W., zwm (D)",1834-1896,1385
"Teasdale, G. (GB/Austr.)",1868-1967,1386
"Teekens, Ofke (N)",1896-1942/5,1387
"Teffer, M., zdl (N)",1827-1907,1388
"Telgte, H.J. ter, verpleger (N)",1895-1942+,1389
"Temming, Auguste (D)",1870-1930,1390
"Tendeloo, H.J., zdl (N)",1830-1902,1391
"Terlinden, J.C., zdl (D) ", 1803-1832,1392
"Tesche, Carl, zdl (D)",1904-2002,1393
"Teutscher, H.J., zdl (N)",1915-1976,1394
"Theis, August, zdl (D)",1874-1968,1395
"Thiele, Alfred Charles F. (D)",1892-1987,1396
"Thiessen, Johann (Rusland)",1869-1953,1397
"Thiessen, Nicolai, zdl (Rusland)",1874-1949,1398
"Thomas, Jost Wilhelm, zdl (D)",1843-1900,1399
"Thomson, Frederick B., zdl (VS)",1809-1848,1400
"Thomson, J. (GB)",,1401
"Thornton, Ms. El., ond. (GB)",,1402
"Tibben, zr. Hendrikje (H)",1887?-1957?,1403
"Tiedeman, zr. N. (N)",,1404
"Tiekstra, Gjalt Bouwes, ond. (N)",1882-1960,1405
"Tiemersma, L., zdl (N)", 1861-1944,1406
"Tiemeyer, Friedrich, zdl (D)",1901-1988,1407
"Tilbury, A.W. (GB)",,1408
"Tilstra, Klaas (N)",1897-1985,1409
"Tjhi Moi-fa, Ms. (China)",±1905,1410
"Tobi, Leonard, zdl (N)",1832-1888,1411
"Toet, zr. J. (N)",1909?-,1412
"Tonsbeek, Johan W. (N)",1884 -1915,1413
ongehuwd gebleven,,1414
"Trommel, H.J., zdl (N)",1905-1981,1415
"Tromp, Heinrich Philipp, zdl (D)",1842-1922,1416
"Trostel, Gustav, zdl (D)",1906-1942,1417
"Trowt, Thomas, zdl (GB)",1784-1816,1418
"Tsang To Hang, zdl (China)",±1905-1979,1419
"Tse, Y.K., zdl (China)",±1905-,1420
"Tuiten, Joh., zdl (N)",1884-1914,1421
"Tuiten, Martinus, zdl (N)",1882-1957,1422
"Tunheim, Petra (Norwegia/VS)",1871-1923,1423
"Tüttermann, Lina (D)",1889-1939,1424
"Tuuk, H. Neubronner van der (N)",1824-1894,1425
ongehuwd gebleven,,1426
"Tuyll v Serooskerken, A.M. v. (N)",1892-1989,1427
"Tweedy, zr. Elis. Arnoldine (N)",1886-1956,1428
"Twijnstra, Hendrik (N)",1892-1945,1429
"Ufer, Conrad, zdl (D)",1871-1953,1430
"Uhlenbusch, H.Fr.W. (D)",1841-1893,1431
"Uittenbogaard, H.M., ond. (N)",1913-1978,1432
"Ulderink, zr. Hendr. Wilh. Joh. (N)",1905-2005,1433
"Ulfers, S. (D), zdl (N)",1818/9-1885,1434
"Underhill, Rev. Carl C. (VS)",,1435
"Urech, Ms. Lydia, ond. (VS)",,1436
"Vaandrig, G., ond. (N)",,1437
"Vahrenkamp, Adele (D)",1864-1929,1438
"Valderpoort, P.G.W., ond. (N)",1892-1942/5,1439
"Valderpoort-Wierts van Coe­hoorn, mw. J.C. (N)",,1440
"Valk, P.C. van der (N)",,1441
"Valk, Theod. August F.. vder, zdl (N)",1828-1874,1442
"Vasseur, Isaak J.W.J. (N)",1891-1972,1443
"Veelen, mw. B.G. van (N)",1908-2001,1444
"Veen, R., arts (N)",1906-1972,1445
"Veen, Gerhardus H.A. vder, zdl (N)",1874-1949,1446
"Veen, dr. H. van der (N)",1888-1977,1447
"Veerenhuis, Gerrit Jan (N)",1879-1946,1448
"Vegt, H.M. van der, arts (N)", ,1449
"Veld, Jan in 't, ond. (N)",1883-1971,1450
"Velde, H. te, arts (N)",1908-1942,1451
"Velden v Capellen, S.D. van der (N)",1820/1-1856,1452
"Velders, mw. W.H. (N)",1912-1993,1453
"Veldhuis, Ruurd, zdl (N)",1893-1944,1454
"Veldstra, Fokke, arts (N)",1896-1965,1455
"Vellekoop, Pieter Nic. (N)",1890-1974,1456
"Vellenga, zr. J.A. (N)",1897-1983,1457
"Verbeet, mw. G., ond. (N)",1886-,1458
"Verdoorn, J.A., arts (N)",1903-1991,1459
"Verhaag, Jacob, zdl (N)",1803-±1880,1460
"Verhagen, Dirk, arts (N)",1890-1961,1461
"Verhoeff Jr., Joh. Jac., zdl (N)",1833-1872,1462
"Verhoeven, J., zdl (N)",1844-1922,1463
"Verkuijl Az, Arie, ond. (N)",1885-1961,1464
"Verkuyl, ds. dr. J. (N)",1908-2001,1465
"Verleur, zr. Magd. Maria Cath. (N)",1900-1987,1466
"Vermaasen, Jan Dirk, zdl (N)",1815/6-1844,1467
"Vermeer, Aart sr., zdl. (N)",1828-1891,1468
"Vermeer, A., jr., zdl (N)",1872-1934,1469
"Vermolen, Willem, ond. (N)",1892-1972,1470
"Versteeg, zr. C. (N)",,1471
"Verveen, Dirk, arts (N)",1903-1977,1472
"Verveen, J.E., arts (N)",1905-1958,1473
"Verwaal, zr. D., diakones (N)",,1474
"Verwiebe, Ernst, zdl (D)",1901-1961,1475
"Vessem, Jac. van, zdl (N)",1901-1991,1476
"Vieker, Wilhelm, zdl (D)",1891-1961,1477
"Viering, mw. Emmi (D)",1903-1988,1478
"Vischer, M. arts (Zwits.)",1895/6-1943,1479
"Visser, Ale, zdl (N)",1837-1861,1480
"Vizjak, Georg (Kroatia)",1871-1937,1481
"Vlis, Chr. Jac. van der, taalk. (N)",1813-1842,1482
"Vogelesang, L., arts (N)",1879-1932,1483
"Volkmann, H. Wilhelm, zdl (D)",1856-1908,1484
"Volmer, Hermann, zdl (D)",1909-1961,1485
"Vonk, A.H., arts (N)",1893-1978,1486
"Vonk, Jan Casper, zdl (N)",1785-1838,1487
ongehuwd gebleven,,1488
"Vonk, W.T., zdl (N)",,1489
ongehuwd gebleven,,1490
"Voogd, Abraham de, zdl (N)",1864-1944,1491
"Voorham, B.A., zdl (N)",1875-1908,1492
ongehuwd gebleven,,1493
"Vos, Herman Cornelis Wilhelm de, arts (N). ~ ongehuwd gebleven?",1903-1942,1494
"Vriend, zr. Geesje (N)",1901-1952+,1495
"Vries, zr. A.C. de (N)",1907-1998,1496
"Vries, Izaak Engelbert de, zdl (N)",1879-1920,1497
"Vries, Jan de. zdl (N)",1885-..,1498
"Vries, Lourens de, zdl. (N)",1869-1960,1499
"Vries, Sytze Jans de, zdl (N)",1838-1899,1500
"Vries, S.S. de, zdl (N)",1876-1949,1501
"Vroom, J. de, zdl (N)",1841-1881,1502
"Vuuren, zr. A.C. van (N)",1902-1974,1503
"Vuurmans, H., zdl (N)",1895-1957,1504
"Waal, zr. Adr. Frederica van de",1906-1990,1505
"Waals, Gerardus van der, zdl (N)",1875-1945,1506
"Wagner, Eduard, zdl (D)",1871-1941,1507
"Wagner, Heintz, zdl (D)",1904-1978,1508
"Wagner, Otto, zdl (D)",1905-1962,1509
"Wagner, Wilhelm, arts (D)",1891-1968,1510
"Wal, Marinus van der, zdl (N)",1835-1904,1511
"Walo, Ms. E. (GB?)",,1512
"Walter, Luitpold, zdl (Zwits.)",1905-,1513
"Wang, Leland (Wang Zaj) (China)",1898-1975,1514
"Wantzlick, Gustav Adolf (Austr.)",1867-1913,1515
"Ward, Nathaniel Moore, zdl (GB)",† ±1872,1516
"Ward, Rev. William T. (VS)",,1517
"Warneck, Johannes, zdl (D)",1867-1944,1518
"Weber, Friedrich, zwm (D)",,1519
"Weber, Georg Wilhelm, zdl (D)",1841-1871,1520
"Wedel-Jarlsberg, Th. von (D)",1863-1930,1521
"Weeda, J.B., zdl (N)",1885-1938+,1522
"Weeda, mw. M. (N)",,1523
"Weener, zr. C.L. (N)",1899-1984,1524
"Weerd, Hermann de, zdl (D)",1857-1885,1525
"Weerd, W.B. de, zdl (N)",1905-2003,1526
"Weerden, Harm Jan van, zdl. (N)",1899-1948,1527
"Weetneck, Auguste (D)",1873-,1528
"Weg, J. van de, zdl (N)",1887-1945,1529
"Weiler, zdl G. (N)",,1530
"Weiss, Ernst, zwm (D)",1831-1866,1531
"Weiss, zr. Kath. E.Th. (D)",1890-1978,1532
"Weissenbruch, Hermann, zdl (D)",1877-1945,1533
"Weisser, Samuel, zdl (D)",1891-1942,1534
"Weissinger, H. (D)",1904-1982,1535
"Wellensiek, mw. H.J., ond. (N)",1882-1968,1536
"Welsz, Gerrit Joh., ond. (N)",1882-1925,1537
"Werff, zr. Ienskje van der (N)",1904,1538
"Werimon-Bakker, M.D., maatsch. werker, zie Bakker, mw. M.D.",,1539
"Werkman, O., zdl (N)",1887-1944,1540
"Werner, Lore (D)",1898-1988,1541
"Wessel, zr. G. van (N)",1905-1996,1542
"Wesseldijk, H.J., zdl (N)",1886-1964,1543
"Wesseldijk, J.W., zdl (N)",1889-1945,1544
"Westendorp, zr. Antje (N)",1906-,1545
"Westerveld-van der Ben, zr. A.A.C. zie Ben, A.A.C. van der",,1546
"Westerveld, Willem, ond. (N)",1886-1961,1547
"Wetstein, J., zdl (N)",1886-1967,1548
"Wiebe, Nicolai, zdl. (Rusland)",1862-,1549
"Wiegand, Heinrich, zdl (D)",1876-1941,1550
"Wiegers, J., zdl (N)",1891-1968,1551
"Wieënkötter, H. A. Florenz, zdl (D)",1791/2-1828,1552
Wielenga (jr.) ds. D.K. (N),1880-1942,1553
"Wielenga, Johanna Dirkje, ond. (N)",1907-1979,1554
"Wiersema, Jakob Siert, arts (N)",1907-1981,1555
"Wiersma, J.N., zdl (N)",1833-1907,1556
"Wieske, Hendrik, ond. (N)",1884-1953,1557
"Wigand, Fr. Eberhard, zdl (D)",1827-1859,1558
"Wiggelendam, K., zdl (N)",1845-1909,1559
"Wiggers, Jan Albert, ond. (N)",1893-1968,1560
"Wiggers, zr. Gesiena Ber. (N)",1910-1959+,1561
"Wijnekes, zr. Plonia Maria (N)",1885-1976,1562
"Wijngaarden, J.K., zdl (N)",1866-1894,1563
"Wijs, Agatha Ant. de, diakones (N)", 1892-1924,1564
"Wikdal, P.S. (Skand.)",,1565
"Wilcox, Rev. Burton O. (VS)",,1566
"Wilhelm, Jacob, zdl. (N)",1854-1892,1567
"Wilken, N.P., (O-Friesl.), zdl (N)",1813-1878,1568
"Wilkening, Johannes, zdl (D) ",1873-1963,1569
"Wilkens, Ms. L.V., ond. (GB)",,1570
"Willfinger, John F., zdl (VS)",1910-1942,1571
"Winckler, Joh. Chr. Furchtegott (D)",1799-1833?,1572
"Winkler, K.J.M. (Joh.), arts (D)",1874-1958,1573
"Wits, zr. W. (N)",1914-1991,1574
"Witt, mw. H. (N)",1893-1978,1575
"Witt, Lothar, zdl (D)",1904-1975,1576
"Wittmann-Nikolajew, Marussa, ",1873-1953,1577
 ond. (Rusland),,1578
"Woelders, Willem H., zdl (N)",1837-1892,1579
"Woensdregt, Jacob, zdl (N)",1889-1928,1580
"Woerden, mw. M. van, ond. (N)",,1581
"Woerner, Gustave, zdl. (VS)",1896-1978,1582
"Wolff, zr. M.A. (N)",1907/8-1996,1583
"Wolterbeek, Jan David (N)",1890-1976,1584
"Wong A Tjhin, Ms., zdl (China)",±1905-,1585
