nama orang,geb/overl.,id
"Dekker, Hendrik, zdl. (N)",1861-,281
"Dekker-Drescher, mw., zie Drescher",,282
"Delfos, ds. A. (N)",1849-1923,283
"Denninger, Ernst Ludwig, zdl. (D)",1815-1876,284
"Denyes, J.R. (VS)",1869-1936,285
"Dietrich, Carl (D)",1828-1876,286
"Dietzel, F.W. L, arts (D)",1902-1942,287
"Dijk, A. van, zdl (N)",1878-1942,288
"Dijk, D.J. van, zdl. (N)",1898-1987,289
"Dijk, ds. K. van (N)",1877-1945,290
"Dijk, Tjalling van, ond. (N)",1885-1971,291
"Dijk, ds. W. van (N)",1889-1987,292
"Dijkema, Klaas, ond. (N)",1886-1970,293
"Dijken, H. van, zwm > zdl (N)",1832-1900,294
"Dijkhuis, Engelbert, zdl (N)",1900-1981,295
"Dijkhuis, Joh., zdl (N)",1904-1942/5,296
"Dijkstra, A., zdl (N)",1840-1893,297
"Dijkstra, Hendrika Hermina, ond. (N)",,298
"Dimbleby, Kate (GB)",1858-1923,299
"Dingstee, zr. Alida M. v. (N)",1884-1973,300
"Dirks, David, zdl. (Rusland)",1874-1926,301
"Dirks, Heinrich, zdl. (Rusland)",1842-1915,302
"Dittmar, F.J.J. (D)",,303
"Dittmar, Grace M., dl. (VS)",1910-1942,304
"Dixon, Herman, zdl. (VS)",1908-1994,305
"Dolman, C., zdl (N)",1911-1991,306
"Dommers, A., zdl (N)",1796/7-1841,307
"Donselaar, W.M., zdl (N)",1820-1883,308
"Doorn, dr. C.L. van, zdl (N)",1896-1975,309
"Doren, William Th. van, zdl. (VS)",,310
"Dörmann, Friedrich, zdl. (D)",1901-1983,311
"Dornsaft, Joh. Wilhelm, zdl. (D)",1847-1915,312
"Dorst, Sybrig, ond. (N)",1905-1992,313
"Doty, Elihu, zdl. (VS)",1809-1864,314
"Douwes, D., zdl (N)",-1835,315
"Doyer, Thomas, zdl. (N)",1822-1861,316
ongehuwd gebleven,,317
"Dreckmeier, G.J., arts (N)",1895-1992,318
"Drescher, zr. M. (Dekker-) (N)",,319
"Dresselhaus, Bernhardine (D)",1881-1925,320
"Drinhaus, Peter (D)",1889-1950,321
"Drost, H., zdl. (N)",1865-1940,322
"Drost, zr. H.J. (N)",,323
"Droste, Jan Frederi(c)k, zdl. (N)",1864-1915?,324
"Duinker, F., zdl., (N)",1912-1943,325
"Duker, Willem, ond. (N)",1913-2010,326
"Dunnebier, W., zdl (N)",1877-1955,327
"Durkstra, ds. Eduard (N)",1909-1987,328
"Dürr, dr. Johannes, ond. (Zwits.)",1904-1972,329
"Dutton, Emily (GB)",1860-1939,330
"Duymaer van Twist, A.J., arts (N)",1867 -1923,331
"Duyvendak, H.W., zdl (N)",1893–1950,332
"Eck, R. van, zdl (N)",1842-1901,333
"Eckert, August, zdl. (D)",1871-1902,334
"Edborg, Ms. V.M. (Swedia)",,335
"Eelen, H.G. van, zdl (N)",1888-1958,336
"Eelsing, Hendrik (NL)",1896-1971,337
"Eendenburg, S. van, zdl (N)",1853-1912,338
"Eerland, L.D., arts (N)",1897-1977,339
"Eggenberger, Agathe, ond. (Zwits.)",1904-1991,340
"Eggink, H.J., zdl (N)",1875 -1940,341
"Eggink, Jacoba Maria, ond. (N)",1912-2008,342
"Eglin, zr. Anna Maria (D)",1893-1970,343
"Eigen, P.K. Otto von, ond. (D)",1888-1984,344
