nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Merwart, mw. Ph.A.M., ond.",1889-1943/5,932,,,Netherlands
"Metz, Judicus, zdl",1867-1944,933,,,Netherlands
"Metzler, Anna Elisabeth",1885-1985,934,,,Germany
"Metzler, Wilhelm, zdl",1847-1935,935,,,Germany
"Meyer/Meijer, dhr. G.",,936,,,Netherlands
"Meyer, zr. Gesina Johanna",1898-,937,,,Netherlands
"Meyer, zr. J.M.J., zie Meijer ",,938,,,
"Meyer, Otto, zdl",,939,,,Germany
"Michaelis, Johann L., zwm",±1828-1866,940,,,Germany
"Michaelis, Oskar Paul, arts",1907,941,,,Germany
"Michel, Johannes K.K., zdl",1850-1915,942,,,Germany
"Michel, Wilhelm, zdl",1908-1968,943,,,Germany
"Mickelson, Einar, zdl",,944,,,United States of America
"Middelkoop, dr. Pieter",1895-1973,945,,,Netherlands
"Midtbö, Vincent  (Zie Synneva Vestheim, Alle dagen)",1922-1944,946,,,Scandinavia
"Miedema, drs. C. J., ond/verpl.",1908-1994,948,,,Netherlands
"Miedema, Jelle, arts",1897-1978,949,,,Netherlands
"Miedema, K., zdl",1904-1959,950,,,Netherlands
"Miesen, J.H.W. van der, zdl",1873-1936+,951,,,Netherlands
"Mikat, Anna",1885-1969,952,,,Germany
"Milne, William, zdl",1785-1822,953,,,United Kingdom
"Mindermann, Brüne, zdl",1872-1960,954,,,Germany
"Minkhorst, J.H., ond.",1894-1943,955,,,Netherlands
"Mitchell, Hubert.",1907-1995,956,,,United States of America
"Mittelstädt, Kurt E.",1901-1984,957,,,Germany
"Miyahira, Shusho/Hidemata ()",1904-1976,958,,,Japan
"Mobach, Tjebbe, ond.",1890-1983,959,,,Netherlands
"Moens, Hendrik P., zwm",1831-1882,960,,,Netherlands
"Mohri, August",1835-1897,961,,,Germany
"Mol, zr. Gerritje",1873-1929,962,,,Netherlands
"Mol, Pieter Gerrit",1878-1907,963,,,Netherlands
"Mol van Otterloo, A. de,",1893-1965+,964,,,Netherlands
"Mollema, G.W.M., zdl",1903-1950,965,,,Netherlands
"Möller, Daniel",1879-1954,966,,,Germany
"Möller, Friedrich",1907-1982,968,,,Germany
"Möller, Julius, arts",1884-1942,969,,,Germany
"Momeyer, August",1868-1941,970,,,Germany
"Mooy/ij, Jacoba, ond.",,971,,,Netherlands
"Morken, David E.",1910-2003,972,,,United States of America
"Mosche, C.F.F. , zwm",1840-1868,973,,,Germany
"Motte, Georges ()",±1900-1971+,974,,,Belgium
"Mouw, J. Arthur, zdl",1903-1987,975,,,United States of America
"Mühlnickel, J.G. Adolph, zwm",1822-1897,976,,,Germany
"Mühlnickel, August, zwm",1826-1859,977,,,Germany
"Muijs, zr. Hendrika Cornelia",1901-1995,978,,,Netherlands
"Muis, J.J., zdl",1868-1945,979,,,Netherlands
"Mulder, J., ond.",,980,,,Netherlands
"Muller, D., zdl",1777/8-1826,981,,,Switzerland
"Muller, Marinus Gerard, arts",1894-1981,982,,,Netherlands
"Müller, Eduard, zdl",1879-1937+,983,,,Germany
"Müller, H., zdl",1866-1923+,985,,,Germany
"Müller, H., zdl",,987,,,Netherlands
"Müller, H. zdl",1895-,989,,,Switzerland
"Müller, W., zdl",1898-1934,991,,,Germany
"Müller, Wilhelm, zdl",1878-1942,992,,,Germany
"Müller, Wilhelm, zdl",1905-1976,993,,,Germany
"Müller-Krüger, dr. Th.",1902-1980,994,,,Germany
"Munk, Jan Carel, ond.",1881-1928,995,,,Netherlands
"Munnik, Franciscus de, zdl",1865-1938,996,,,Netherlands
"Munson, Albert",1890-1979,997,,,United States of America
"Munson, Melvin",1889-1961,998,,,United States of America
"Munson, Ralph Waldo",1840-1934,999,,,United States of America
"Munson, Samuel, zdl",1804-1834,1000,,,United States of America
"Munters, zr. Nic. Helena",1909-,1001,,,Netherlands
"Muyen/Muijen, zr. Maria van",1892-1988,1002,,,Netherlands
"Muylwijk, J. van, zdl",1881-1945,1003,,,Netherlands
"Muylwijk, zr. Joh. Adr. Maria",1903-,1004,,,Netherlands
"Muijs/Muys, zr. Hendr. Clasina",1901-,1005,,,Netherlands
"Myers, Ms. Mary, ond.",1866-,1006,,,United States of America
"Nachtigal, Peter, zdl.",1881-1928,1007,,,Russia
"Nauta, H.J., ond.",1881-1945,1008,,,Netherlands
"Neef, A.J. de, zdl",1892-1948,1009,,,Netherlands
"Needham, Hester",1843-1897,1010,,,United Kingdom
"Neef, N. de, ond.",1884-1974,1011,,,Netherlands
"Nes, ds. C. van",1906-1988,1012,,,Netherlands
"Netelenbos, ds. Lambertus",1876-1955,1013,,,Netherlands
"Netelenbos, zr. Wilh. Hendr.",1879-1964,1014,,,Netherlands
"Neubronner, zie Tuuk, van der",,1015,,,
"Neumann, J.H., zdl",1876-1949,1016,,,Netherlands
"Neumann, Margarethe",1869-,1017,,,Germany
"Nevius, Elbert S.",1808-1897,1018,,,United States of America
"Nieboer, zr. Hilke",1899-1996,1019,,,Netherlands
"Nicholls, Ms. Lee Edna",1880-1951?,1020,,,United States of America
"Nielsen, Clara, ond.",1910-1993,1021,,,Germany
"Niemann, Edward Ward",1908-1999,1022,,,Germany
"Niemann, Lisette",1850-1921,1023,,,Germany
"Niephaus, Heinrich, zdl",1875-1933,1024,,,Germany
"Niet, mr. Maarten de",1904-1979,1025,,,Netherlands
"Niet, zr. Maria Adriana de",1897-1989,1026,,,Netherlands
"Niet, G.D.W. te, zwm (ond.)",1825-1905,1027,,,Netherlands
"Nieuwenhuizen, zr. C.W. van",,1028,,,Netherlands
"Nijenhuis, J.H.D., zdl",1893-1944,1029,,,Netherlands
"Nikkel, Gerhard, zdl.",1861-1932,1030,,,Russia
"Niks, J.F., zdl",1843-1930,1031,,,Netherlands
"Noll, Johannes, zdl",1869-1954,1032,,,Germany
"Nommensen, Ingwer L., zdl",1834-1918,1033,,,Germany
"Nommensen, Jon. Tim., zdl",1873-1950,1034,,,Germany
"Nonnenberg, Rudolf H.K., ond.",1903-1971,1035,,,Germany
"Noordhoff, G. (O-Friesl.), zdl",1801/2-'42,1036,,,Germany
"Noordzij, Willem A., ond.",1892-1942/5,1038,,,Netherlands
"Noort, A.C., ond.",1906-1982,1039,,,Netherlands
"Noort, Rev. J. van den",,1040,,,United States of America
"Nooy, H.W., zdl",1825-1853,1041,,,Netherlands
"Noppen, L.M. van, zdl",1887-1943,1042,,,Netherlands
"Nortier, dr. Adriaan, arts",1885-1940,1043,,,Netherlands
"Nortier, C.W., zdl",1888-1963,1044,,,Netherlands
"Noteboom, L., arts",,1045,,,Netherlands
"Notten, Diederik Theod., ond.",1882-1936,1046,,,Netherlands
"Nusteeg, zr. A.",1880/1-1964,1047,,,Netherlands
"Oechsli, Rev. Leonard",1885-1955,1048,,,United States of America
"Oelschlaeger, Ms. Louise",,1049,,,United States of America
"Offringa, Joh., arts",1883-1950,1050,,,Netherlands
"Ohme, B.O.",1880-1945,1051,,,Germany
"Olesen, Ms. E., ond.",,1052,,,United States of America
"Onvlee, dr. Louis",1893-1986,1053,,,Netherlands
"Ooms, Antje, ond.",1889-1979,1054,,,Netherlands
"Oosterhuis, Jan W., arts",1884-1955,1055,,,Netherlands
"Oosterveen, Harm, arts",1908-1944,1056,,,Netherlands
"Orlopp, zr. Maria",1901-1994,1057,,,Germany
"Ormel, zr. J.Th.",1913-1961,1058,,,Netherlands
"Ostrom, Rev. Egon ()",1903-1945,1059,,,Sweden
"Otterspoor, W., zdl.",1840-1869,1060,,,Netherlands
"Ottow, C.W., zwm",1826-1862,1062,,,Germany
"Ottow, J.C.G., zdl/ond.",1861-1945,1063,,,Netherlands
"Ottow, M.",1898-1983,1064,,,Netherlands
"Pakianathan, Solomon Swa­mi­dason",1881-1962,1065,,,South India
"Palm, mw. H.M.",,1067,,,Netherlands
"Panman, zr. Anna Joh. Helena",1893-1980,1068,,,Netherlands
"Pape, Franz, zwm",±1833-1874+,1069,,,Germany
"Papendick, Margarete",1884-1960,1070,,,Germany
"Patterson, W.W.m zdl.",,1071,,,United States of America
"Pattison, L.O.",,1072,,,United States of America
"Peddemors, Willem, arts",1906-1997,1073,,,Netherlands
"Pelzer, zr. Margarethe",1909-1948,1074,,,Germany
"Pennings, Abr., zdl",1875-1966,1075,,,Netherlands
"Pennings, Ant.A., zdl",1870-1902,1076,,,Netherlands
"Perdok, Hindrik, zdl",1908-1979,1077,,,Netherlands
"Perkins, Rev. Raymond G.",1884-,1078,,,United States of America
"Phillips, Joseph Luxford, zdl",1783-1820,1079,,,United Kingdom
"Piccer, Johanna",1887-1945,1080,,,Netherlands
"Pichler, Aug. R. Erich, zdl",1883-1965,1081,,,Germany
"Pieper, Adolf, zdl",1882-1929,1082,,,Germany
"Pieron, ds. Alle Fred. Joh.  zie GZbl 1940, 63",1908-1944,1083,,,Netherlands
"Pieters, Jan Hendrik, zdl",1883/4-1978,1085,,,Netherlands
"Pieters, zr. T.",,1086,,,Netherlands
"Pijsel, mw. A., arts",1878-1929,1087,,,Netherlands
"Pik, J., zdl",1881-1955,1088,,,Netherlands
"Pilgenröder, Adolf, zdl",1869-1949,1089,,,Germany
"Pilgram, Gustav, zdl",1848-1913,1090,,,Germany
"Pilon, Pieter J.J.R.T. arts",1883-1958,1091,,,Netherlands
"Pinckney, Charles E., arts",,1092,,,United States of America
"Pistor, Paula Bauszat-",1877-1948,1093,,,Germany
"Pistor, Ruth",1905-1997,1094,,,Germany
"Plaum, Wilhelm, zdl.",1905-,1095,,,Germany
"Ploeger, Albertus, zdl",1905-1986,1096,,,Netherlands
"Ploegman, W.F., ond.",1805-1873,1097,,,Netherlands
"Poel, J. van der, zdl",1892-1972,1098,,,Netherlands
"Poensen, C., zdl",1836-1919,1099,,,Netherlands
"Pohlig, Peter, zdl",1860-1915,1100,,,Germany
"Pohlmann, William J., zdl",,1101,,,United States of America
"Pol, H., zdl.",1898-1972,1102,,,Netherlands
"Polet, Willem Hendrik",1895-1992,1103,,,Netherlands
"Pontier, zr. Paulina Johanna",1885-1918,1104,,,Netherlands
"Poot, A., zdl",1901-1978,1105,,,Netherlands
"Poppy, Jemima, ond.",1818-1869,1106,,,United Kingdom
"Por, zr. G.",1888-,1107,,,Netherlands
"Pos, ds. A.",1888-1971,1108,,,Netherlands
"Pos, ds. W.",1856/7-1914,1109,,,Netherlands
"Post, Harry W., zdl",,1110,,,United States of America
"Post, Walter M., zdl",,1111,,,United States of America
"Postema, zr. Etje",1906-,1112,,,
"Postema, zr. Trijntje  (GZbl 1939, 255)",1912-,1113,,,Netherlands
"Poutiainen, Toivo ()",±1900-'38,1115,,,Finland
"Präger-Lenk, zie Lenk",,1116,,,
"Presswood, W. Ernest, zdl ()",1908-1946,1117,,,Canada
"Prins, D.C., zdl",1888-1945,1118,,,Netherlands
"Prins-Hardeman, B.A., ond.",1888-1967,1119,,,Netherlands
"Prins, zr. Jantje, verpl.",1890-,1120,,,Netherlands
"Probst, Karl, zdl",1865-1918,1121,,,Germany
"Proosdij, C. van, arts",1887-1949,1122,,,Netherlands
"Proud, R. ()",,1123,,,United Kingdom
"Pruijs, dr. Hendrik Simon, arts",1866-1944/5,1124,,,Netherlands
"Pruijs, Willem Marie, arts",1901-1982,1125,,,Netherlands
"Pruis, dr. Geert Wl .Adr, arts",1899-1959,1126,,,Netherlands
"Prüsener, Franziska",1874-1953,1127,,,Germany
"Prussner, A.H., arts",1884-1947,1128,,,United States of America
"Puik, Rijk, ond.",1908-,1129,,,Netherlands
"Püschel, Agnes A.S., ond.",1887-1961,1130,,,Germany
"Püse, Heinrich, zdl",1841-1920,1131,,,Germany
"Put, Lulof Hendrik, zdl",1911-1956,1132,,,Netherlands
"Putten, Marius van, ond.",1888-1975,1133,,,Netherlands
"Pykett, Rev. G.F.",,1134,,,United States of America
"Quentmeyer, Ernst, zdl",1875-1962,1135,,,Germany
"Quistorp, Hanna",1893-1981,1136,,,Germany
"Raatschen, Heinrich, zdl",1901-1945,1137,,,Germany
"Rabeneck, Heinrich, zdl",1875-1939,1138,,,Germany
"Rade, Lisbeth A.D.",1893-1956,1139,,,Germany
"Rado, Tabor, arts",1893-1926+,1140,,,Hungary
"Ramaker, D.",1890-,1141,,,Netherlands
"Randwijck, S.C. Graaf van",1901-1997,1142,,,Netherlands
"Raycroft, Ms. Ruby A., ond.",,1143,,,United States of America
"Rebuschat, Gustav, zdl",1905-1984,1144,,,Germany
"Redinger, June E., ond.",,1145,,,United States of America
"Reenen, ds. G.J. van",1905-1964,1146,,,Netherlands
"Reichler, Frieda",1900-1978,1147,,,Germany
"Reichl, zr. Marianne",1913-1950,1148,,,Germany
"Reinartz, Hildegard, ond.",1900-1969,1149,,,Germany
"Reinshagen, Amalie",1862-?,1150,,,Germany
"Reiter, H., zdl",1896-1942,1151,,,Germany
"Reitze, Heinrich, zdl",1862-1938,1152,,,Germany
"Renes, G.J., arts",1914?-1986?,1153,,,Netherlands
"Renes, Jan, ond.",1899-1970,1154,,,Netherlands
"Renken, Anton, zdl",1859-1928,1155,,,Germany
"Reynhout, J., ond.",1899-1997,1156,,,Netherlands
"Richert, zr. Susanna",,1157,,,Russia
"Richter, W. , zwm",1823-1885,1158,,,Germany
"Riedel, J.F., zdl",1798-1860,1159,,,Germany
"Riedel, Karl , zdl",1892-1953,1160,,,Germany
"Rienecker, Pauline Helene",1876-1922,1161,,,Germany
"Rihs, Arnold, zdl",1907-1981,1162,,,Switzerland
"Rijkhoek, Daniël, zdl",1887-1970,1163,,,Netherlands
"Rijkhoek, Jannetje Maria  (Jean­nette)",1894-1974,1164,,,Netherlands
"Rijn, Christiaan van, zdl",,1166,,,Netherlands
"Rinck, zr. Wilh. Chr.",1905-,1167,,,Netherlands
"Rinnooij, Nicolaas, zdl",1841-1913,1168,,,Netherlands
"Ritsema, J., zdl",1884-1950,1169,,,Netherlands
"Rittich, Robert",1892-1973,1171,,,Germany
"Robinson, William, zdl",1784-1853,1172,,,United Kingdom
"Röder, H., bouwkundige",1901-1970,1173,,,Germany
"Roepman, zr. Elizabeth Maria",1880-,1174,,,Netherlands
"Roest Jr, C. van der, drukker",1874 -1926,1175,,,Netherlands
"Roest, J.L.D. van der, zdl",1867-1950,1176,,,Netherlands
"Rohde, Eleonora C.",1891-1970?,1177,,,United States of America
"Rolff, zr. C.W., diacones",1885/6-1976,1178,,,Netherlands
"Rooker, Hessel, zdl",1830-1915,1179,,,Netherlands
"Rooker, J.H. zie Hiebink R.",,1180,,,
"Roorda van Eysinga, zr. H.J.",1903-1996,1181,,,Netherlands
"Roose, zr. Corn. Mart., diacones",1881-1961,1182,,,Netherlands
"Rooseboom, Jacominus Arn., zdl",1901-1971,1183,,,Netherlands
"Rooy, zr. M.J. de",,1184,,,Netherlands
"Rosenlund, Edward ()",-1939,1185,,,Finland
"Roskes, J.W., zdl",1843-1918,1186,,,Netherlands
"Roskott, B.N.J., ond.",1811-1873,1187,,,Germany
"Roslund, mw. N.A.K., vroedvrouw",,1188,,,Scandinavia
"Rott, Ferdinand, zdl",1823-1859,1189,,,Germany
"Röttger, E.H., zdl",1801-1852+,1190,,,Germany
"Royer, dr. G., arts",1889-1958,1191,,,Netherlands
"Rübcke, Elly",1905-2001,1192,,,Germany
"Ruden, C.L., zdl",1808-1842,1193,,,Germany
"Rudersdorf, Otto, zdl",1869-1952,1194,,,Germany
"Ruijssenaers, ds. Gerrit Joh.",1875-1907,1195,,,Netherlands
"Ruijter, H. H. de, diakones",1867-1936,1196,,,Netherlands
"Russmann, Annemarie",1868-..,1197,,,Germany
"Rutgers, Jacqueline C.",1874-1951,1198,,,Netherlands
"Rutgers, Jeremina Fred., ond.",1882-1964,1199,,,Netherlands
"Ruth, E. Naomi",,1200,,,United States of America
"Rutkowsky, Alfred, zdl",1908-2002,1201,,,Germany
"Ruttink, H.C.G., zdl",1876-1958,1202,,,Netherlands
"Ruysch v Dugteren, E.M.H., zdl",1886-1915,1203,,,Netherlands
"Saathof, Daniël, ond.",1895-1957,1204,,,Netherlands
"Sadler, Ms. E.",,1205,,,United States of America
"Sande, Andrew, zdl",-1942,1206,,,United States of America
"Sandell, zr. Anna Amelia",1875-1942,1207,,,United States of America
"Sander, zr. Adriana Clasina",1901-1973,1208,,,Netherlands
"Sartor, Edmund, zdl",1883-1941,1209,,,Germany
"Savornin Lohman, jkvr. zr. Eli­sa­beth Johanna de",1903-Mei '45,1210,,,Netherlands
"Schaafsma, A.O., zdl",1830-1896,1211,,,Netherlands
"Schaafsma-de Jong, H., ond.",1859-1923,1212,,,Netherlands
"Schächter, Martha",1896-1989,1213,,,Germany
"Schärer, dr. Hans, zdl",1904-1947,1214,,,Switzerland
"Scheffer, zr. Y.",1901-'66[?],1215,,,Netherlands
"Scheffler, Johanna Bertha",1883-,1216,,,Germany
"Schekelmann, zr. Sophie",1906-1990,1217,,,Germany
"Schelfhorst, F., zdl",1872-1942/5,1218,,,Netherlands
"Schell, H.E.R.",,1219,,,United States of America
"Schelven, Maria Johanna van",1882-1934,1220,,,Netherlands
"Schepper, mr. dr. J.M.J.",1888-1967,1221,,,Netherlands
"Schernus, Martin",1879-1933,1222,,,Germany
"Scherrer, J.E.E., zdl",1889-1964,1223,,,Switzerland
"Scheurer, Jan Gerrit, arts",1864-1928,1224,,,Netherlands
"Schildmann, Ewald, zdl",1910-1989,1225,,,Germany
"Schilstra, Sybren, zdl",1840-1909,1226,,,Netherlands
"Schlipköter, Emil, zdl",1879-1965,1227,,,Germany
"Schlipköter, zr. F.",1872-1920,1228,,,Germany
"Schmid, Fr.",1892-1950,1229,,,Switzerland
"Schmiedeskamp, mw. A., ond.",1893-1959,1230,,,Germany
"Schmidt, Friedrich",1868-1936,1231,,,Germany
"Schmidt, Isaac Chester",1887-1978,1232,,,United States of America
"Schmidt, Johannes C.A., zwm",1831-,1233,,,Germany
"Schmidt, R., zdl",1909-1960,1234,,,Germany
"Schmidt, Wilhelm, zdl",1871-1941,1235,,,Germany
"Schmitt, Hermann, zdl",1898-1942,1236,,,Germany
"Schmitt, Lydia",1897-1965,1237,,,Germany
"Schmitz, Johann Gerhard",1880-±1940,1238,,,Netherlands
"Schnatbaum, Wilhelm, zdl",1887-1961,1239,,,Germany
"Schneider, Alfred",1905-1992,1240,,,Germany
"Schneider, Friedrich G., zdl",1880-1965,1241,,,Germany
"Schneider, G.J., zdl",1890-1942,1242,,,Germany
"Schneider, Robert, zdl",1884-1961,1243,,,Germany
"Schniepp, zr. Lydia E.",,1244,,,Germany
"Schoch, M.L.W., diakones",1876-1962,1245,,,Netherlands
"Schoepe, Walter, ond.",1903-,1246,,,Germany
"Scholten, G.H. zdl",1884-1926,1247,,,Netherlands
"Scholten, G.J. arts  (zv H.H. Sch.)",±1910-1939,1248,,,Netherlands
"Scholten, Hindrik Henderikus",1881-1944,1249,,,Netherlands
"Schot, C.G., zdl",1827-1874,1250,,,Netherlands
"Schrey, Johannes, zdl",1852-1927,1251,,,Germany
"Schreiber, August W., zdl",1839-1903,1252,,,Germany
"Schreiber, Chr., zdl",1886-1965,1253,,,Germany
"Schreiber, Fr. Carl, zdl",1886-1963,1254,,,Germany
"Schreiber, Frieda",1877-1951,1255,,,Germany
"Schreiber, Dr. Werner J., zdl",1872-1941,1256,,,Germany
"Schreuder, mw. Ch.H., arts",1911-1966,1257,,,Netherlands
"Schröder, C.J.M.L. , zwm",1830-1885,1258,,,Germany
"Schröder, G.F., zdl",1868-1927,1259,,,Netherlands
"Schröder, zr. L.",,1260,,,Netherlands
"Schröder, Willem Frederik, zdl",1889-1969,1261,,,Netherlands
"Schrok, Herman Corn., arts",1907-1969,1262,,,Netherlands
"Schuh, B., zdl (Fr.)",1823/4-'62+,1263,,,
"Schuijt, Pieter, zdl",1884-1980,1264,,,Netherlands
"Schulz, Rudolf U.W., zdl",1893-1984,1265,,,Germany
"Schumann, Rudolf, zdl",1882-1948,1266,,,Germany
"Schuringa, zr. M.",1892-1986,1267,,,Netherlands
"Schuringa, zr. S.J.",1900-1983,1268,,,Netherlands
"Schut, J.A.F., zdl",1871-1931,1269,,,Netherlands
"Schütz, Philipp Chr., zdl",1838-1922,1270,,,Germany
"Schuurman, dr. B.M., zdl",1889-1945,1271,,,Netherlands
"Schuurman, zr. M.",1892-1977,1272,,,Netherlands
"Schuurmans, J., zdl",1896-1963,1273,,,Netherlands
"Schuurmans, Nic. Dirk, zdl.",1838-1908,1274,,,Netherlands
"Schwab, Ms. Elsie",,1275,,,United States of America
"Schwartz, Alfred, zdl",1905-1942,1276,,,Germany
"Schwarz, G., zdl",1892-1933,1277,,,Germany
"Schwarz, Joh. Alb. Traugott, zdl",1836-1918,1278,,,Netherlands
"Schwarz, J.G., zdl.",1800-1859,1279,,,Germany
"Schweflinghaus, Elly",1907-1993,1280,,,Germany
"Schweitzer, H., zdl",1904-1942,1281,,,Germany
"Seely, Philoma R.",,1282,,,United States of America
"Seher, Franz Heinrich, zdl",1864-1925,1283,,,Germany
"Seibel, Frida, ond.",1911-,1284,,,Germany
"Seibold, K., zdl",1887-1965,1285,,,Germany
"Senk, Paul, zdl",1902-1971,1286,,,Germany
"Shover, Rev. J.C.",,1287,,,United States of America
"Sickinger, O.E., arts",1888-1933,1288,,,Germany
"Siderius, zr. Sara",1891-1971,1289,,,Netherlands
"Siegler, Helene, ond.",1906-2002,1290,,,Germany
"Siegner, J., zdl",1909-1942,1291,,,Germany
"Siemens, Jakob, zdl.",1876-,1292,,,Russia
"Sigel, Hugo Ferd., arts",1895-1969,1293,,,Germany
"Simon, Gottfried Karl, zdl",1870-1951,1294,,,Germany
"Simon, G., arts",1897-,1295,,,Germany
"Simoneit, August, zdl",1842-1886,1296,,,Germany
"Skadsheim, zie Tunheim",,1297,,,
"Skubinna, Fr. Wilh., zdl",1885-1965,1298,,,Germany
"Slagter, zr. Cornelia",1866-1943,1299,,,Netherlands
"Slater, John, zdl",1789-,1300,,,United Kingdom
"Slettenaar, H., arts",1899-1977,1301,,,Netherlands
"Sloot, Reinder, ond.",1886-1931,1302,,,Netherlands
"Slotemaker de Bruïne, mw. C.",1900-1987,1303,,,Netherlands
"Slotemaker de Bruïne, dr. M.C.",1897-1986,1304,,,Netherlands
"Slotemaker de Bruïne, dr. NAC",1895-1969,1305,,,Netherlands
"Slump, F., zdl",1896-1972,1306,,,Netherlands
"Smalbraak, J., arts",1908/9-1998,1307,,,Netherlands
"Smeding, Hendrik, zdl",1833-1891,1308,,,Netherlands
"Smit, Gezinus, zdl",1883-1958,1309,,,Netherlands
"Smit, zr. P., diakones",,1310,,,Netherlands
"Smit, Wolter Arinus zdl",1906-1976,1311,,,Netherlands
"Snuggs, Ed. Thom, zdl ()",1860-?,1312,,,United Kingdom
"Soeting, zr. Hill. Pieter­nella",1907-2002,1313,,,Netherlands
"Solinger, D., zdl",1913-1969,1314,,,Netherlands
"Spangenberg, zr. J. ()",,1315,,,Germany
"Spellenberg, Corn., ond.",1904-...,1316,,,Germany
"Spethmann, Charlotte",1872-1947,1317,,,Germany
"Spiegel, Hendrik van der, zdl",1865-1919,1318,,,Netherlands
"Spiecker, Wilhelm, zdl",1874-1931,1319,,,Germany
"Spiller, Anna Maria Ruth",1907-2000,1320,,,Switzerland
"Splunder, Jeremias van, zdl",1858-1886,1321,,,Netherlands
"Spoelstra, mw. A., ond.",-1930,1322,,,Netherlands
"Sporket, Julius, zdl",1868-1955,1323,,,Germany
"Spreeuwenberg, H., zdl",1907-1951,1324,,,Netherlands
"Sprenger, Henriette",1866-1918,1325,,,Germany
"Stade, W., zdl",1889-1926,1326,,,Netherlands
"Stahlie, T.D., arts",1914-2009,1327,,,Netherlands
"Stam, Pieter, zwm",1822-1889,1328,,,Netherlands
"Stamer, Rev. John P.",,1329,,,United States of America
"Stap, J.E., zdl",1883-1946,1330,,,Netherlands
"Starink, J., zdl",1787/8-1828,1331,,,Netherlands
"Starkey, Earl F., ond.",,1332,,,United States of America
"Starrenburg, D.B., zdl",1880-1946,1333,,,Netherlands
"Staudt, F.M., ond.",1906-1945,1334,,,Netherlands
"Staudt-Burmania, mw. R., ond.",1904-2002,1335,,,Netherlands
"Staudte, Fr. Wilhelm, zdl",1845-1884,1336,,,Germany
"Stauffer, Otto, zdl.",1904-1942,1337,,,Germany
"Steele, William Henry, zdl",1818-1905,1338,,,United States of America
"Steenbergen, Femmie, ond.",1916-1947,1339,,,Netherlands
"Steenstra, zie Stenstra",,1340,,,
"Stefanski, Ms. Pauline, ond.",1881-1965,1341,,,United States of America
"Stegerhoek, zr. J.E.",1916-,1342,,,Netherlands
"Steinbrecher, Wilhelm, zdl",1862-1919,1343,,,Germany
"Steingräber, Paul, zdl",1884-1973,1344,,,Germany
"Steinhard, Johannes, zdl",1905-1966,1345,,,Germany
"Steinhart, Willem Leonard, zdl",1898-1982,1346,,,Netherlands
"Steinmetz, zr. W.H.C.",,1347,,,Netherlands
"Steinsieck, Wilhelm, zdl",1855-1924,1348,,,Germany
"Steller, mw. Auguste S Steller, ond. ",1900-,1349,,,
"Steller, E.T. (Steller), zwm",1834-1897,1350,,,Germany
"Steller, mr. K.G.F., zdl",1875-1945,1351,,,Netherlands
"Stelwagen, Uilke, ond.",1900-1965,1352,,,Netherlands
"Stenstra, Willem Corn., ond.",1884-1928,1353,,,Netherlands
"Steur, Emile van der",1901-42/5?,1354,,,Netherlands
"Steur, Joh. Hendrica, zie Mol",,1355,,,
"Steur, Johannes (""Pa"") van der",1865-1945,1356,,,Netherlands
"Stingel, Otto, zdl",1874-1945,1357,,,Germany
"Stoett, Janna Lucia",1894-1951,1358,,,Netherlands
"Stokking, Hendrik J., zdl",1878-1928,1359,,,Netherlands
"Stokkum, Marinus W.Th. v, arts",1881-1958,1360,,,Netherlands
"Stolk, zr. C.G.",,1361,,,Netherlands
"Stoové, Hendrik, zdl",1840-1901+,1362,,,Netherlands
"Storm, G.C., zdl",1894-1941,1363,,,Netherlands
"Storm, K., zdl",1864-1906,1364,,,Netherlands
"Strijker, Pietertje, verpl.",1901/5?-,1365,,,Netherlands
"Strötker, Friedrich, zdl",1863-1930,1366,,,Germany
"Stryker, Isaac, zdl",-1842,1367,,,United States of America
"Stuffers, mw. C., ond.",,1369,,,Netherlands
"Stuivenga, J.H.",,1370,,,Netherlands/United States of America
"Stursberg, Gustav, zdl",1853-1916,1371,,,Germany
"Stuut, zr. Helena Tallina",1898-1988,1372,,,Netherlands
"Stuut, zr. S.",,1373,,,Netherlands
"Sullivan, Rev. Floyd H.",1885/6-,1374,,,United States of America
"Sundermann, H.H.W., zdl",1855-1947,1375,,,Germany
"Sundermann, Wilh. H., zdl",1849-1919,1376,,,Germany
"Supper, J.C., zdl",1782-1816,1377,,,Germany
"Sybenga, zr. Tjitske Jantina",1908,1378,,,Netherlands
"Swaan, W., zdl",,1379,,,United States of America
"Swanborn, Adr. Jac., ond.",1872-1945,1380,,,Netherlands
"Swellengrebel, dr. Jan Lod.",1909-1984,1381,,,Netherlands
"Szasz, Laszlo, arts",,1382,,,Hungary
"Talens, J.P., zdl",1878-1971,1383,,,Netherlands
"Tanis, J., ond.",1898-1994,1384,,,Netherlands
"Tauffmann, C.E.W., zwm",1834-1896,1385,,,Germany
"Teasdale, G.",1868-1967,1386,,,United Kingdom/Austria
"Teekens, Ofke",1896-1942/5,1387,,,Netherlands
"Teffer, M., zdl",1827-1907,1388,,,Netherlands
"Telgte, H.J. ter, verpleger",1895-1942+,1389,,,Netherlands
"Temming, Auguste",1870-1930,1390,,,Germany
"Tendeloo, H.J., zdl",1830-1902,1391,,,Netherlands
"Terlinden, J.C., zdl",1803-1832,1392,,,Germany
"Tesche, Carl, zdl",1904-2002,1393,,,Germany
"Teutscher, H.J., zdl",1915-1976,1394,,,Netherlands
"Theis, August, zdl",1874-1968,1395,,,Germany
